M_ORIGIN,M_DESTINATION,D_LANDMARK,D_TYPE,O_LANDMARK,O_TYPE,TRIP_START_TIME,TRIP_SEQUENCE,TOTAL_TRAVEL_TIME,ACCESS_MODE,ACCESS_TIME,ACCESS_DISTANCE,WAITING_TIME_FIRST_STATION,EGRESS_MODE,EGRESS_TIME,EGRESS_DISTANCE,WAITING_TIME_FINAL_STATION,BICYCLE_USE,WALKING_TIME_SECOND_STOP,WAITING_TIME_SECOND_STOP,PASS,TOTAL_COST,CROWDING,GENDER,S_1,S_2,S_3,AGE,EDUCATION,OCCUPATION,INCOME,CARS,TWO_WHEELER,BICYCLES,OTHERS
Jalahalli (green line),Rajajinagar (green line),"Rajajinagar, Rajkumar statue",Home (ಮನೆ),"Acharya college, hesarghatta road ",School/College (ಶಾಲೆ/ಕಾಲೇಜು),16:00:00,Bus + Metro (ಬಸ್+ಮೆಟ್ರೋ),60,Walk (ನಡಿಗೆ),3,< 0.5 km (<0.5 ಕೀ. ಮೀ),5,Two-Wheeler (ದ್ವಿಚಕ್ರ ವಾಹನ),10,> 5 km (>5 ಕೀ. ಮೀ),,For egress trip only (ಎಗ್ರೆಸ್ ಟ್ರಿಪ್ ಗಾಗಿ ಮಾತ್ರ),5,7,Metro card (ಮೆಟ್ರೋ ಕಾರ್ಡ್),10,High crowding - All seats AND 50-75% of standing space occupied (ಹೆಚ್ಚಿನ ಜನಸಂದಣಿ - ಎಲ್ಲಾ ಆಸನಗಳು ಮತ್ತು 50-75% ನಿಲ್ಲುವ ಜಾಗ ತುಂಬಿರುತ್ತದೆ),Male (ಪುರುಷ),,,Bus and Metro (ಬಸ್ ಮತ್ತು ಮೆಟ್ರೋ),18-25 yrs (18-25 ವರ್ಷ),12th Std. (PUC/HSE) (12ನೇ ತರಗತಿ (PUC/HSE)),Student (ವಿದ್ಯಾರ್ಥಿ),"10,001 – 25,000",3,4+,1,0
Goraguntepalya (green line),Mahatma Gandhi Road (purple line),Mg road prestige delta building ,Work/Business place (ಕೆಲಸ/ವ್ಯಾಪಾರದ ಸ್ಥಳ),Gokuldas enterprise ,Home (ಮನೆ),15:45:00,Metro (ಮೆಟ್ರೋ),75,Walk (ನಡಿಗೆ),7,0.5 to 1 km (0.5 ರಿಂದ 1 ಕೀ. ಮೀ),5,Walk (ನಡಿಗೆ),15,0.5 to 1 km (0.5 ರಿಂದ 1 ಕೀ. ಮೀ),,For neither access nor egress trips (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಮತ್ತು ಎಗ್ರೆಸ್ ಟ್ರಿಪ್ ಎರಡಕ್ಕೂ ಬಳಸುವುದಿಲ್ಲ),,,Mobility card (ಮೊಬಿಲಿಟಿ ಕಾರ್ಡ್),0,Low crowding - All seats AND up to 25% of standing space occupied (ಕಡಿಮೆ ಜನಸಂದಣಿ - ಎಲ್ಲಾ ಆಸನಗಳು ಮತ್ತು 25% ನಿಲ್ಲುವ ಜಾಗ ತುಂಬಿರುತ್ತದೆ),Female (ಹೆಣ್ಣು),,,Metro (ಮೆಟ್ರೋ),18-25 yrs (18-25 ವರ್ಷ),Graduate (ಪದವಿ),Employed Private (ಖಾಸಗಿ ಉದ್ಯೋಗ),"25,001 – 50,000",0,0,0,0
Konanakunte Cross (green line),Srirampura (green line),Mantrimall,Home (ಮನೆ),Mantri serenity ,Work/Business place (ಕೆಲಸ/ವ್ಯಾಪಾರದ ಸ್ಥಳ),16:40:00,Metro (ಮೆಟ್ರೋ),30,Walk (ನಡಿಗೆ),1,< 0.5 km (<0.5 ಕೀ. ಮೀ),6,Car (ಕಾರು),3,"< 0.5 km (<0.5 ಕೀ. ಮೀ,)",,For neither access nor egress trips (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಮತ್ತು ಎಗ್ರೆಸ್ ಟ್ರಿಪ್ ಎರಡಕ್ಕೂ ಬಳಸುವುದಿಲ್ಲ),,,No (ಇಲ್ಲ),40,No crowding  - 50-75% of seats occupied (ಜನಸಂದಣಿ ಇರುವುದಿಲ್ಲ - 50-75% ಆಸನಗಳು ತುಂಬಿರುತ್ತವೆ),Male (ಪುರುಷ),,,Car (ಕಾರು),36-45 yrs (36-45 ವರ್ಷ),Graduate (ಪದವಿ),Business (ವ್ಯಾಪಾರ),,1,1,1,0
Konanakunte Cross (green line),Mahalakshmi (green line),Sriniwas temple ,Home (ಮನೆ),RVITM college ,School/College (ಶಾಲೆ/ಕಾಲೇಜು),16:15:00,Bus + Metro (ಬಸ್+ಮೆಟ್ರೋ),60,Walk (ನಡಿಗೆ),5,< 0.5 km (<0.5 ಕೀ. ಮೀ),8,Walk (ನಡಿಗೆ),8,0.5 to 1 km (0.5 ರಿಂದ 1 ಕೀ. ಮೀ),,For both access and egress trips (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಮತ್ತು ಎಗ್ರೆಸ್ ಟ್ರಿಪ್ ಗಾಗಿ),2,2,Metro card (ಮೆಟ್ರೋ ಕಾರ್ಡ್),0,Medium crowding - All seats AND 25-50% of standing space occupied (ಮಧ್ಯಮ ಜನಸಂದಣಿ - ಎಲ್ಲಾ ಆಸನಗಳು ಮತ್ತು 25-50% ನಿಲ್ಲುವ ಜಾಗ ತುಂಬಿರುತ್ತದೆ),Female (ಹೆಣ್ಣು),Yes (ಹೌದು),Bus (ಬಸ್),Bus and Metro (ಬಸ್ ಮತ್ತು ಮೆಟ್ರೋ),18-25yrs (18-25 ವರ್ಷ),12th Std. (PUC/HSE) (12ನೇ ತರಗತಿ (PUC/HSE)),Student (ವಿದ್ಯಾರ್ಥಿ),"50,001 – 1,00,000",1,2,1,0
Jalahalli (green line),"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Jalahalli bus stop ( came from davangere),Other (ಇತರೆ),Majestic (going to kolar),Other (ಇತರೆ),16:40:00,Metro (ಮೆಟ್ರೋ),35,Walk (ನಡಿಗೆ),5,< 0.5 km (<0.5 ಕೀ. ಮೀ),8,Walk (ನಡಿಗೆ),5,"< 0.5 km (<0.5 ಕೀ. ಮೀ,)",,For neither access nor egress trips (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಮತ್ತು ಎಗ್ರೆಸ್ ಟ್ರಿಪ್ ಎರಡಕ್ಕೂ ಬಳಸುವುದಿಲ್ಲ),,,No (ಇಲ್ಲ),35,No crowding  - 50-75% of seats occupied (ಜನಸಂದಣಿ ಇರುವುದಿಲ್ಲ - 50-75% ಆಸನಗಳು ತುಂಬಿರುತ್ತವೆ),Female (ಹೆಣ್ಣು),,,Metro (ಮೆಟ್ರೋ),18-25 yrs (18-25 ವರ್ಷ),Trade/Diploma Certificate (ಟ್ರೇಡ್/ಡಿಪ್ಲೋಮೋ ಸರ್ಟಿಫಿಕೇಟ್),Employed Private (ಖಾಸಗಿ ಉದ್ಯೋಗ),,0,0,0,0
Jayaprakash Nagar (green line),Mahatma Gandhi Road (purple line),Kengeri,Home (ಮನೆ),Gopalan innovation mall,Shopping place (ಶಾಪಿಂಗ್ ಕೇಂದ್ರ),15:30:00,Metro (ಮೆಟ್ರೋ),60,Auto Rickshaw (ಆಟೋರಿಕ್ಷಾ),20,2.5 km to 3 km (2.5 ರಿಂದ 3 ಕೀ. ಮೀ),10,Car (ಕಾರು),15,1.5 km to 2 km (1.5 ರಿಂದ 2 ಕೀ. ಮೀ),,For neither access nor egress trips (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಮತ್ತು ಎಗ್ರೆಸ್ ಟ್ರಿಪ್ ಎರಡಕ್ಕೂ ಬಳಸುವುದಿಲ್ಲ),,,Metro card (ಮೆಟ್ರೋ ಕಾರ್ಡ್),350,No crowding  - 25-50% of seats occupied (ಜನಸಂದಣಿ ಇರುವುದಿಲ್ಲ - 25-50% ಆಸನಗಳು ತುಂಬಿರುತ್ತವೆ),Female (ಹೆಣ್ಣು),,,Metro (ಮೆಟ್ರೋ),18-25 yrs (18-25 ವರ್ಷ),Graduate (ಪದವಿ),Student (ವಿದ್ಯಾರ್ಥಿ),"25,001 – 50,000",1,1,1,0
Rashtreeya Vidyalaya Road (green line),Mahalakshmi (green line),Mahalaxmi layout ,Home (ಮನೆ),Jayanagar 4th block ,School/College (ಶಾಲೆ/ಕಾಲೇಜು),16:30:00,Metro (ಮೆಟ್ರೋ),30,Walk (ನಡಿಗೆ),10,0.5 to 1 km (0.5 ರಿಂದ 1 ಕೀ. ಮೀ),3,Two-Wheeler (ದ್ವಿಚಕ್ರ ವಾಹನ),3,0.5 to 1 km (0.5 ರಿಂದ 1 ಕೀ. ಮೀ),,For neither access nor egress trips (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಮತ್ತು ಎಗ್ರೆಸ್ ಟ್ರಿಪ್ ಎರಡಕ್ಕೂ ಬಳಸುವುದಿಲ್ಲ),,,Metro card (ಮೆಟ್ರೋ ಕಾರ್ಡ್),0,Low crowding - All seats AND up to 25% of standing space occupied (ಕಡಿಮೆ ಜನಸಂದಣಿ - ಎಲ್ಲಾ ಆಸನಗಳು ಮತ್ತು 25% ನಿಲ್ಲುವ ಜಾಗ ತುಂಬಿರುತ್ತದೆ),Male (ಪುರುಷ),,,Metro (ಮೆಟ್ರೋ),18-25 yrs (18-25 ವರ್ಷ),Graduate (ಪದವಿ),Student (ವಿದ್ಯಾರ್ಥಿ),"1,00,001 – 2,00,000",2,2,1,0
Jayanagar (green line),Sandal Soap Factory (green line),Orion mall ,Shopping place (ಶಾಪಿಂಗ್ ಕೇಂದ್ರ),Wilson garden ,Home (ಮನೆ),16:30:00,Metro (ಮೆಟ್ರೋ),40,Auto Rickshaw (ಆಟೋರಿಕ್ಷಾ),10,2 km to 2.5 km (2 ರಿಂದ 2.5 ಕೀ. ಮೀ),1,Walk (ನಡಿಗೆ),5,0.5 to 1 km (0.5 ರಿಂದ 1 ಕೀ. ಮೀ),,For neither access nor egress trips (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಮತ್ತು ಎಗ್ರೆಸ್ ಟ್ರಿಪ್ ಎರಡಕ್ಕೂ ಬಳಸುವುದಿಲ್ಲ),,,No (ಇಲ್ಲ),200,High crowding - All seats AND 50-75% of standing space occupied (ಹೆಚ್ಚಿನ ಜನಸಂದಣಿ - ಎಲ್ಲಾ ಆಸನಗಳು ಮತ್ತು 50-75% ನಿಲ್ಲುವ ಜಾಗ ತುಂಬಿರುತ್ತದೆ),Female (ಹೆಣ್ಣು),,,I was not making this trip (ನಾನು ಈ ಪ್ರಯಾಣ ಮಾಡುತ್ತಿರಲಿಲ್ಲ),46-60 yrs (46-60 ವರ್ಷ),Graduate (ಪದವಿ),Unemployed/Retired/Homemaker (ನಿರುದ್ಯೋಗಿ/ನಿವೃತ್ತ/ಮನೆಕೆಲಸ),,1,1,1,0
Jayanagar (green line),Mantri Square Sampige Road (green line),Kr market,School/College (ಶಾಲೆ/ಕಾಲೇಜು),Rajiv Gandhi universe ,School/College (ಶಾಲೆ/ಕಾಲೇಜು),16:40:00,Metro (ಮೆಟ್ರೋ),20,Walk (ನಡಿಗೆ),5,0.5 to 1 km (0.5 ರಿಂದ 1 ಕೀ. ಮೀ),5,Auto Rickshaw (ಆಟೋರಿಕ್ಷಾ),10,2 km to 2.5 km (2 ರಿಂದ 2.5 ಕೀ. ಮೀ),5,For neither access nor egress trips (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಮತ್ತು ಎಗ್ರೆಸ್ ಟ್ರಿಪ್ ಎರಡಕ್ಕೂ ಬಳಸುವುದಿಲ್ಲ),,,Metro card (ಮೆಟ್ರೋ ಕಾರ್ಡ್),60,Very high crowding - All seats AND most standing space occupied (ಅತಿ ಹೆಚ್ಚು ಜನಸಂದಣಿ - ಎಲ್ಲಾ ಆಸನಗಳು ಮತ್ತು ಬಹುತೇಕ ನಿಲ್ಲುವ ಜಾಗ ತುಂಬಿರುತ್ತದೆ),Male (ಪುರುಷ),,,Metro (ಮೆಟ್ರೋ),18-25 yrs (18-25 ವರ್ಷ),Graduate (ಪದವಿ),Student (ವಿದ್ಯಾರ್ಥಿ),"25,001 – 50,000",0,0,0,0
Jalahalli (green line),South End Circle (green line),Surana college near,Home (ಮನೆ),Jalahalli metro station near ,Work/Business place (ಕೆಲಸ/ವ್ಯಾಪಾರದ ಸ್ಥಳ),16:55:00,Metro (ಮೆಟ್ರೋ),50,Walk (ನಡಿಗೆ),8,1 km to 1.5 km (1 ರಿಂದ 1.5 ಕೀ. ಮೀ),6,Walk (ನಡಿಗೆ),8,1 km to 1.5 km (1 ರಿಂದ 1.5 ಕೀ. ಮೀ),,For both access and egress trips (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಮತ್ತು ಎಗ್ರೆಸ್ ಟ್ರಿಪ್ ಗಾಗಿ),,,Metro card (ಮೆಟ್ರೋ ಕಾರ್ಡ್),0,High crowding - All seats AND 50-75% of standing space occupied (ಹೆಚ್ಚಿನ ಜನಸಂದಣಿ - ಎಲ್ಲಾ ಆಸನಗಳು ಮತ್ತು 50-75% ನಿಲ್ಲುವ ಜಾಗ ತುಂಬಿರುತ್ತದೆ),Male (ಪುರುಷ),,,Metro (ಮೆಟ್ರೋ),26-35 yrs (26-35 ವರ್ಷ),Postgraduate (ಸ್ನಾತಕೋತ್ತರ ಪದವಿ),Employed Private (ಖಾಸಗಿ ಉದ್ಯೋಗ),"25,001 – 50,000",0,0,0,0
National College (green line),Nagasandra (green line),Prestige appartment ,Home (ಮನೆ),BMS ,Work/Business place (ಕೆಲಸ/ವ್ಯಾಪಾರದ ಸ್ಥಳ),16:35:00,Metro (ಮೆಟ್ರೋ),60,Walk (ನಡಿಗೆ),20,1 km to 1.5 km (1 ರಿಂದ 1.5 ಕೀ. ಮೀ),8,Walk (ನಡಿಗೆ),15,0.5 to 1 km (0.5 ರಿಂದ 1 ಕೀ. ಮೀ),,For both access and egress trips (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಮತ್ತು ಎಗ್ರೆಸ್ ಟ್ರಿಪ್ ಗಾಗಿ),,,Metro card (ಮೆಟ್ರೋ ಕಾರ್ಡ್),0,Medium crowding - All seats AND 25-50% of standing space occupied (ಮಧ್ಯಮ ಜನಸಂದಣಿ - ಎಲ್ಲಾ ಆಸನಗಳು ಮತ್ತು 25-50% ನಿಲ್ಲುವ ಜಾಗ ತುಂಬಿರುತ್ತದೆ),Female (ಹೆಣ್ಣು),,,Metro (ಮೆಟ್ರೋ),26-35 yrs (26-35 ವರ್ಷ),Doctorate (ಡಾಕ್ಟರೇಟ್),Employed Private (ಖಾಸಗಿ ಉದ್ಯೋಗ),"25,001 – 50,000",0,0,0,0
Mysore Road (purple line),Mantri Square Sampige Road (green line),"Malleshwaram, near mantri",Home (ಮನೆ),Mysore,Home (ಮನೆ),17:00:00,Metro (ಮೆಟ್ರೋ),18,Walk (ನಡಿಗೆ),2,< 0.5 km (<0.5 ಕೀ. ಮೀ),5,Walk (ನಡಿಗೆ),2,"< 0.5 km (<0.5 ಕೀ. ಮೀ,)",,For neither access nor egress trips (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಮತ್ತು ಎಗ್ರೆಸ್ ಟ್ರಿಪ್ ಎರಡಕ್ಕೂ ಬಳಸುವುದಿಲ್ಲ),,,No (ಇಲ್ಲ),30,No crowding - Less than 25% of seats occupied (ಜನಸಂದಣಿ ಇರುವುದಿಲ್ಲ - 25% ಗಿ೦ತ ಕಡಿಮೆ ಆಸನಗಳು ತುಂಬಿರುತ್ತವೆ),Male (ಪುರುಷ),,,Metro (ಮೆಟ್ರೋ),18-25 yrs (18-25 ವರ್ಷ),12th Std. (PUC/HSE) (12ನೇ ತರಗತಿ (PUC/HSE)),Student (ವಿದ್ಯಾರ್ಥಿ),"<=10,000",0,1,0,0
Nagasandra (green line),Mantri Square Sampige Road (green line),Malleswaram 18th cross,Shopping place (ಶಾಪಿಂಗ್ ಕೇಂದ್ರ),"8th mile, baglugutte temple near",Home (ಮನೆ),17:30:00,Metro (ಮೆಟ್ರೋ),30,Car (ಕಾರು),10,4.5 km to 5 km (4.5 ರಿಂದ 5 ಕೀ. ಮೀ),1,Walk (ನಡಿಗೆ),8,1 km to 1.5 km (1 ರಿಂದ 1.5 ಕೀ. ಮೀ),,For neither access nor egress trips (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಮತ್ತು ಎಗ್ರೆಸ್ ಟ್ರಿಪ್ ಎರಡಕ್ಕೂ ಬಳಸುವುದಿಲ್ಲ),,,No (ಇಲ್ಲ),35,No crowding  - 25-50% of seats occupied (ಜನಸಂದಣಿ ಇರುವುದಿಲ್ಲ - 25-50% ಆಸನಗಳು ತುಂಬಿರುತ್ತವೆ),Male (ಪುರುಷ),,,Metro (ಮೆಟ್ರೋ),26-35 yrs (26-35 ವರ್ಷ),Graduate (ಪದವಿ),Employed Private (ಖಾಸಗಿ ಉದ್ಯೋಗ),,1,1,0,0
Peenya (green line),South End Circle (green line),"Yediyur lake , near nagasandra circle ",Home (ಮನೆ),"Vidyaranpura, BEL road ",Home (ಮನೆ),17:30:00,Metro (ಮೆಟ್ರೋ),60,Dropped-off by friends/others (ಸ್ನೇಹಿತರು/ಇತರರಿಂದ ಡ್ರಾಪ್-ಆಫ್),10,2.5 km to 3 km (2.5 ರಿಂದ 3 ಕೀ. ಮೀ),3,Walk (ನಡಿಗೆ),10,1 km to 1.5 km (1 ರಿಂದ 1.5 ಕೀ. ಮೀ),,For both access and egress trips (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಮತ್ತು ಎಗ್ರೆಸ್ ಟ್ರಿಪ್ ಗಾಗಿ),,,Metro card (ಮೆಟ್ರೋ ಕಾರ್ಡ್),0,No crowding  - 50-75% of seats occupied (ಜನಸಂದಣಿ ಇರುವುದಿಲ್ಲ - 50-75% ಆಸನಗಳು ತುಂಬಿರುತ್ತವೆ),Male (ಪುರುಷ),,,Metro (ಮೆಟ್ರೋ),18-25 yrs (18-25 ವರ್ಷ),Graduate (ಪದವಿ),Employed Private (ಖಾಸಗಿ ಉದ್ಯೋಗ),"1,00,001 – 2,00,000",0,1,0,0
Mahalakshmi (green line),Konanakunte Cross (green line),"Gottegere, Bannerghatta road ",Home (ಮನೆ),Iscon temple ,Social/Religious place (ಸಾಮಾಜಿಕ/ಧಾರ್ಮಿಕ ಸ್ಥಳ),17:52:00,Metro + Bus (ಮೆಟ್ರೋ+ಬಸ್),60,Walk (ನಡಿಗೆ),10,0.5 to 1 km (0.5 ರಿಂದ 1 ಕೀ. ಮೀ),5,Walk (ನಡಿಗೆ),2,< 0.5 km (<0.5 ಕೀ. ಮೀ),,For neither access nor egress trips (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಮತ್ತು ಎಗ್ರೆಸ್ ಟ್ರಿಪ್ ಎರಡಕ್ಕೂ ಬಳಸುವುದಿಲ್ಲ),5,2,Metro card (ಮೆಟ್ರೋ ಕಾರ್ಡ್),15,High crowding - All seats AND 50-75% of standing space occupied (ಹೆಚ್ಚಿನ ಜನಸಂದಣಿ - ಎಲ್ಲಾ ಆಸನಗಳು ಮತ್ತು 50-75% ನಿಲ್ಲುವ ಜಾಗ ತುಂಬಿರುತ್ತದೆ),Male (ಪುರುಷ),,,Metro (ಮೆಟ್ರೋ),18-25 yrs (18-25 ವರ್ಷ),Postgraduate (ಸ್ನಾತಕೋತ್ತರ ಪದವಿ),Student (ವಿದ್ಯಾರ್ಥಿ),,0,0,0,0
Silk Institute (green line),Cubbon Park (purple line),"Adugodi main road, Koramangala ",Home (ಮನೆ),"Udipalya , kanakpura road ",Work/Business place (ಕೆಲಸ/ವ್ಯಾಪಾರದ ಸ್ಥಳ),18:15:00,Bus1 + Metro + Bus2 (ಬಸ್1+ಮೆಟ್ರೋ+ಬಸ್2),120,Walk (ನಡಿಗೆ),2,< 0.5 km (<0.5 ಕೀ. ಮೀ),8,Walk (ನಡಿಗೆ),8,0.5 to 1 km (0.5 ರಿಂದ 1 ಕೀ. ಮೀ),,For both access and egress trips (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಮತ್ತು ಎಗ್ರೆಸ್ ಟ್ರಿಪ್ ಗಾಗಿ),2,6,Metro card (ಮೆಟ್ರೋ ಕಾರ್ಡ್),35,No crowding  - 25-50% of seats occupied (ಜನಸಂದಣಿ ಇರುವುದಿಲ್ಲ - 25-50% ಆಸನಗಳು ತುಂಬಿರುತ್ತವೆ),Male (ಪುರುಷ),,,Bus and Metro (ಬಸ್ ಮತ್ತು ಮೆಟ್ರೋ),26-35 yrs (26-35 ವರ್ಷ),Graduate (ಪದವಿ),Employed Private (ಖಾಸಗಿ ಉದ್ಯೋಗ),,0,0,0,0
Silk Institute (green line),Dasarahalli (green line),"Bhuvaneshwari nagar, SVU appartment opposite ",Home (ಮನೆ),"Prestige primrosels, thalgatpura ",Work/Business place (ಕೆಲಸ/ವ್ಯಾಪಾರದ ಸ್ಥಳ),18:30:00,Metro (ಮೆಟ್ರೋ),99,Walk (ನಡಿಗೆ),15,1 km to 1.5 km (1 ರಿಂದ 1.5 ಕೀ. ಮೀ),6,Walk (ನಡಿಗೆ),15,1 km to 1.5 km (1 ರಿಂದ 1.5 ಕೀ. ಮೀ),,For both access and egress trips (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಮತ್ತು ಎಗ್ರೆಸ್ ಟ್ರಿಪ್ ಗಾಗಿ),,,Metro card (ಮೆಟ್ರೋ ಕಾರ್ಡ್),0,No crowding  - 25-50% of seats occupied (ಜನಸಂದಣಿ ಇರುವುದಿಲ್ಲ - 25-50% ಆಸನಗಳು ತುಂಬಿರುತ್ತವೆ),Male (ಪುರುಷ),,,Metro (ಮೆಟ್ರೋ),26-35 yrs (26-35 ವರ್ಷ),Graduate (ಪದವಿ),Employed Private (ಖಾಸಗಿ ಉದ್ಯೋಗ),,1,1,1,0
Doddakallasandra (green line),Peenya (green line),"Yelanka new town, new town Bus stand ",Home (ಮನೆ),"Doddagallasandra metro station near, mantri serinity",Work/Business place (ಕೆಲಸ/ವ್ಯಾಪಾರದ ಸ್ಥಳ),18:55:00,Metro (ಮೆಟ್ರೋ),90,Walk (ನಡಿಗೆ),5,0.5 to 1 km (0.5 ರಿಂದ 1 ಕೀ. ಮೀ),8,Car (ಕಾರು),30,> 5 km (>5 ಕೀ. ಮೀ),,For neither access nor egress trips (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಮತ್ತು ಎಗ್ರೆಸ್ ಟ್ರಿಪ್ ಎರಡಕ್ಕೂ ಬಳಸುವುದಿಲ್ಲ),,,Metro card (ಮೆಟ್ರೋ ಕಾರ್ಡ್),0,No crowding  - 25-50% of seats occupied (ಜನಸಂದಣಿ ಇರುವುದಿಲ್ಲ - 25-50% ಆಸನಗಳು ತುಂಬಿರುತ್ತವೆ),Male (ಪುರುಷ),,,Metro (ಮೆಟ್ರೋ),> 60 yrs (>60 ವರ್ಷ),Postgraduate (ಸ್ನಾತಕೋತ್ತರ ಪದವಿ),Employed Private (ಖಾಸಗಿ ಉದ್ಯೋಗ),,2,1,0,0
Jayaprakash Nagar (green line),Rajajinagar (green line),Near ESI hospital ,Home (ಮನೆ),"Saraki signal, outer ring road ",Work/Business place (ಕೆಲಸ/ವ್ಯಾಪಾರದ ಸ್ಥಳ),18:30:00,Metro (ಮೆಟ್ರೋ),60,Walk (ನಡಿಗೆ),20,1.5 km to 2 km (1.5 ರಿಂದ 2 ಕೀ. ಮೀ),4,Walk (ನಡಿಗೆ),20,1.5 km to 2 km (1.5 ರಿಂದ 2 ಕೀ. ಮೀ),,For both access and egress trips (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಮತ್ತು ಎಗ್ರೆಸ್ ಟ್ರಿಪ್ ಗಾಗಿ),,,Metro card (ಮೆಟ್ರೋ ಕಾರ್ಡ್),0,Low crowding - All seats AND up to 25% of standing space occupied (ಕಡಿಮೆ ಜನಸಂದಣಿ - ಎಲ್ಲಾ ಆಸನಗಳು ಮತ್ತು 25% ನಿಲ್ಲುವ ಜಾಗ ತುಂಬಿರುತ್ತದೆ),Male (ಪುರುಷ),,,Metro (ಮೆಟ್ರೋ),26-35 yrs (26-35 ವರ್ಷ),Postgraduate (ಸ್ನಾತಕೋತ್ತರ ಪದವಿ),Employed Private (ಖಾಸಗಿ ಉದ್ಯೋಗ),,0,0,0,0
Mahatma Gandhi Road (purple line),Nagasandra (green line),Nagasandra metro station near,Home (ಮನೆ),Mg road metro station near ,Work/Business place (ಕೆಲಸ/ವ್ಯಾಪಾರದ ಸ್ಥಳ),19:00:00,Metro (ಮೆಟ್ರೋ),45,Walk (ನಡಿಗೆ),8,0.5 to 1 km (0.5 ರಿಂದ 1 ಕೀ. ಮೀ),3,Walk (ನಡಿಗೆ),20,1.5 km to 2 km (1.5 ರಿಂದ 2 ಕೀ. ಮೀ),,For neither access nor egress trips (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಮತ್ತು ಎಗ್ರೆಸ್ ಟ್ರಿಪ್ ಎರಡಕ್ಕೂ ಬಳಸುವುದಿಲ್ಲ),,,Metro card (ಮೆಟ್ರೋ ಕಾರ್ಡ್),0,High crowding - All seats AND 50-75% of standing space occupied (ಹೆಚ್ಚಿನ ಜನಸಂದಣಿ - ಎಲ್ಲಾ ಆಸನಗಳು ಮತ್ತು 50-75% ನಿಲ್ಲುವ ಜಾಗ ತುಂಬಿರುತ್ತದೆ),Male (ಪುರುಷ),,,Metro (ಮೆಟ್ರೋ),36-45 yrs (36-45 ವರ್ಷ),Graduate (ಪದವಿ),Employed Govt. (ಸರ್ಕಾರಿ ಉದ್ಯೋಗ),,1,3,1,0
Sandal Soap Factory (green line),Baiyappanahalli (purple line),Mahadevpura,Work/Business place (ಕೆಲಸ/ವ್ಯಾಪಾರದ ಸ್ಥಳ),Mathikere,Home (ಮನೆ),07:45:00,Bus + Metro (ಬಸ್+ಮೆಟ್ರೋ),105,Walk (ನಡಿಗೆ),10,< 0.5 km (<0.5 ಕೀ. ಮೀ),10,Metro feeder,20,2.5 km to 3 km (2.5 ರಿಂದ 3 ಕೀ. ಮೀ),5,For neither access nor egress trips (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಮತ್ತು ಎಗ್ರೆಸ್ ಟ್ರಿಪ್ ಎರಡಕ್ಕೂ ಬಳಸುವುದಿಲ್ಲ),5,5,Metro card (ಮೆಟ್ರೋ ಕಾರ್ಡ್),38,Very high crowding - All seats AND most standing space occupied (ಅತಿ ಹೆಚ್ಚು ಜನಸಂದಣಿ - ಎಲ್ಲಾ ಆಸನಗಳು ಮತ್ತು ಬಹುತೇಕ ನಿಲ್ಲುವ ಜಾಗ ತುಂಬಿರುತ್ತದೆ),Male (ಪುರುಷ),,,Metro (ಮೆಟ್ರೋ),36-45 yrs (36-45 ವರ್ಷ),Postgraduate (ಸ್ನಾತಕೋತ್ತರ ಪದವಿ),Employed Private (ಖಾಸಗಿ ಉದ್ಯೋಗ),,1,1,2,0
