,M_ORIGIN,M_DESTINATION,D_LANDMARK,D_TYPE,O_LANDMARK,O_TYPE,START_TIME,TRIP_SEQUENCE,TOTAL_TIME,ACCESS_MODE,ACCESS_TIME,ACCESS_DISTANCE,WT_FS,EGRESS_MODE,EGRESS_TIME,EGRESS_DISTANCE,WT_FIS,BICYCLE_USE,TRANSFER_TIME,WAITING_TIME_SECOND_STOP,PASS,TOTAL_COST,CROWDING,GENDER,S_1,S_2,S_3,AGE,EDUCATION,OCCUPATION,INCOME,CARS,TWO_WHEELER,N_BICYCLES,OTHERS,PARKING,RENT,PARK,DESTINATION,ORIGIN,TRIP,AGE_C,ACCESS_DIS,EGRESS_DIS,RENT_BICYCLE,MALE,ACCESS_M,EGRESS_M
594,"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Yeshwanthpur (green line),"Yeshwantpur , Jeep showroom ",Work,"Majestic, Mysore Bank ",Work,12:15:00,Metro ,30,Walk ,10,1 km to 1.5 km ,10,Walk ,5,0.5 to 1 km ,,For access trip only ,,,Metro card ,0,No crowding  - Most ,Male,,,Metro ,46-60 yrs ,10th,Employed,,0.0,1,0,0,0,10,-1,2,2,1,4,4,3,2,1,1,1
595,Banashankari (green line),Lalbagh (green line),"J c road,Mayuri hotel ",Work,Konanakunte police station ,Home,12:00:00,Metro ,20,Walk ,15,0.5 to 1 km ,5,Walk ,20,1.5 km to 2 km ,,For both access and egress trips ,,,No ,0,High crowding - All seats AND 50-75% of standing space occupied ,Male,,,Metro ,26-35 yrs ,12th,Employed,"<=10,000",0.0,2,0,0,0,10,-1,2,1,1,2,3,2,3,1,1,1
596,"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Jayaprakash Nagar (green line),JP nagar 7th phase,Friend,Yelahanka old town ,Home,11:45:00,Bus + Metro ,75,Walk ,15,0.5 to 1 km ,5,Auto Rickshaw ,15,2.5 km to 3 km ,5,For access trip only ,5,8,No ,30,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,36-45 yrs ,12th,Unemployed,,0.0,2,0,0,0,10,-1,7,1,2,3,3,7,2,0,1,5
597,Rajajinagar (green line),"Sir.M.Visvesvaraya Stn., Central College (purple line)",Civil court,Work,Rajajinagar 3rd block,Home,00:20:00,Metro ,40,Dropped-off by friends/others ,10,3 km to 3.5 km ,6,Walk ,10,0.5 to 1 km ,,For access trip only ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,,Metro ,36-45 yrs ,Postgraduate,Employed,"1,00,001 – 2,00,000",1.0,2,1,0,0,10,-1,2,1,1,3,5,3,2,0,8,1
598,Rajajinagar (green line),Dasarahalli (green line),"St Mary's school, dasarahalli ",Home,"Akash institute, Rajajinagar ",School,12:31:00,Metro ,25,Walk ,2,< 0.5 km ,5,Walk ,10,0.5 to 1 km ,,For egress trip only ,,,Metro card ,0,No crowding  - 50-75% of seats occupied ,Male,,,Metro ,18-25 yrs ,12th,Student,,2.0,3,0,0,0,10,-1,1,3,1,1,1,3,4,1,1,1
599,Baiyappanahalli (purple line),Goraguntepalya (green line),"Apmc, nandini layout ",Work,"Byappanahalli, hoskote,",Work,11:00:00,Bus + Metro ,120,Walk ,10,< 0.5 km ,10,Two-Wheeler ,15,1.5 km to 2 km ,,For neither access nor egress trips ,5,7,No ,70,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,18-25 yrs ,Graduate,Employed,,0.0,1,0,0,0,10,-1,2,2,2,1,1,2,1,1,1,3
600,Nagasandra (green line),Jayanagar (green line),"Jaynagar , 7th block ",Home,IKIA,Shopping,12:50:00,Metro ,40,Walk ,4,< 0.5 km ,6,Two-Wheeler ,5,1.5 km to 2 km ,,For egress trip only ,,,No ,50,No crowding  - 25-50% of seats occupied ,Male,,,Metro ,18-25 yrs ,Graduate,Employed,,1.0,1,0,0,0,10,-1,1,4,1,1,1,2,4,1,1,3
601,Jalahalli (green line),Baiyappanahalli (purple line),"Kaggadhasapura, chef bakers near",Home,Acharya institute of management and science ,School,13:30:00,Metro ,70,Walk ,10,0.5 to 1 km ,7,Auto Rickshaw ,10,3 km to 3.5 km ,2,For both access and egress trips ,,,Metro card ,130,No crowding  - 50-75% of seats occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Student,>2 Lakhs,1.0,1,0,0,0,10,-1,1,3,1,1,3,5,3,0,1,5
602,Jalahalli (green line),"Sir.M.Visvesvaraya Stn., Central College (purple line)",Government women's polytechnic banglore ,School,Jalahalli cross bus stop (mandya),Home,13:55:00,Metro ,35,Walk ,5,< 0.5 km ,8,Walk ,10,< 0.5 km ,,For neither access nor egress trips ,,,Mobility card ,0,No crowding  - 50-75% of seats occupied ,Female,,,Metro ,18-25 yrs ,12th,Student,,0.0,0,0,0,0,10,-1,3,1,1,1,1,1,1,0,1,1
603,Jayanagar (green line),Swami Vivekananda Road (purple line),"Hal kalyana mantapa,",Home,"Jaynagar, near rashtriya vidyalaya ",School,12:00:00,Metro ,75,Auto Rickshaw ,5,0.5 to 1 km ,10,Dropped-off by friends/others ,20,2.5 km to 3 km ,2,For both access and egress trips ,,,Metro card ,50,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,,Metro ,18-25 yrs ,12th,Student,,1.0,2,1,0,0,10,-1,1,3,1,1,3,7,3,0,5,8
604,Goraguntepalya (green line),Indiranagar (purple line),Veg non veg shop,Shopping,Ramaiah college ,Home,13:30:00,Metro ,60,Auto Rickshaw ,10,3.5 km to 4 km ,6,Auto Rickshaw ,15,1.5 km to 2 km ,2,For neither access nor egress trips ,,,No ,200,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Employed,>2 Lakhs,2.0,2,1,0,0,10,-1,4,1,1,1,9,2,1,0,5,5
605,Jalahalli (green line),Jayanagar (green line),4th block BDA complex jaynagar ,Work,"Peenya 2nd stage, veeranjanaiya temple ",Home,13:30:00,Bus + Metro ,85,Walk ,5,0.5 to 1 km ,5,Walk ,2,< 0.5 km ,,For neither access nor egress trips ,2,8,No ,60,No crowding  - 50-75% of seats occupied ,Male,,,Bus and Metro ,26-35 yrs ,Graduate,Business,"1,00,001 – 2,00,000",2.0,3,0,0,0,10,-1,2,1,2,2,3,1,1,1,1,1
606,Jalahalli (green line),Mahatma Gandhi Road (purple line),"Garuda mall , MG road ",Work,"Kamakshi palya, sanchith medical near",Home,14:00:00,Metro ,60,Auto Rickshaw ,30,> 5 km ,8,Walk ,5,0.5 to 1 km ,,For both access and egress trips ,,,No ,45,No crowding  - 50-75% of seats occupied ,Male,,,Metro ,18-25 yrs ,Graduate,Employed,,0.0,1,0,0,0,10,-1,2,1,1,1,8,3,3,1,5,1
607,Deepanjali Nagar (purple line),Mahatma Gandhi Road (purple line),Church street amoeba ,Other,Near shaneshwara temple deepanhali nagar,Home,14:10:00,Metro ,20,Walk ,15,0.5 to 1 km ,6,Walk ,15,0.5 to 1 km ,,For neither access nor egress trips ,,,No ,60,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Student,>2 Lakhs,2.0,1,2,0,0,10,-1,8,1,1,1,3,3,1,0,1,1
608,Jalahalli (green line),National College (green line),"Srinagar,Brahma chaitanya mandira",Social,"Abbigere,kamagondanahalli",Restaurant,14:00:00,Bus + Metro ,60,Walk ,15,0.5 to 1 km ,2,Walk ,30,1.5 km to 2 km ,,For both access and egress trips ,5,5,Metro card ,10,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Bus and Metro ,18-25 yrs ,Trade,Student,,0.0,0,0,0,0,10,-1,6,5,2,1,3,2,3,1,1,1
609,Mahatma Gandhi Road (purple line),Baiyappanahalli (purple line),"Whitefield,kadugudi",Home,"St Mark's road,near bishop cotton",Restaurant,14:15:00,Metro + Bus ,90,Dropped-off by friends/others ,10,0.5 to 1 km ,8,Walk ,13,0.5 to 1 km ,,For both access and egress trips ,3,3,No ,20,No crowding  - 25-50% of seats occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25 yrs ,Graduate,Student,,1.0,1,0,0,0,10,-1,1,5,3,1,3,3,3,0,8,1
610,Jalahalli (green line),Trinity (purple line),Next to Ulsor lake ,Other,"Peenya, ABB factory near",Home,14:20:00,Bus + Metro ,95,Walk ,2,< 0.5 km ,10,Walk ,15,1 km to 1.5 km ,,For both access and egress trips ,2,8,Metro card ,10,No crowding  - 50-75% of seats occupied ,Male,,,Bus and Metro ,18-25 yrs ,12th,Student,"1,00,001 – 2,00,000",1.0,2,4,0,0,10,-1,8,1,2,1,1,4,3,1,1,1
611,Jalahalli (green line),Mantri Square Sampige Road (green line),"13th cross malleshwaram, lalitha jewels",Shopping,"Near ayyapa temple, Jalahalli, ",Home,14:30:00,Metro ,35,Walk ,15,0.5 to 1 km ,6,Walk ,10,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - 50-75% of seats occupied ,Female,,,Metro ,18-25 yrs ,12th,Student,,0.0,2,0,0,0,10,-1,4,1,1,1,3,1,1,0,1,1
612,Baiyappanahalli (purple line),Trinity (purple line),"Trinity,Dickenson road",Friend,"Byapanahalli,RMz inifinity ",Home,14:15:00,Metro ,35,Walk ,15,1 km to 1.5 km ,2,Walk ,23,1 km to 1.5 km ,,For both access and egress trips ,,,Metro card ,0,No crowding  - 25-50% of seats occupied ,Female,,,Metro ,36-45 yrs ,Trade,Unemployed,,1.0,1,0,0,0,10,-1,7,1,1,3,4,4,3,0,1,1
613,Swami Vivekananda Road (purple line),Trinity (purple line),Near trinity church,Work,Near FAI swami vivekananda road,Work,14:35:00,Metro ,20,Walk ,5,< 0.5 km ,6,Walk ,15,0.5 to 1 km ,,For both access and egress trips ,,,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,,I was not making this trip ,36-45 yrs ,Graduate,Unemployed,,1.0,1,0,0,0,10,-1,2,2,1,3,1,3,3,0,1,1
614,Jalahalli (green line),Mahatma Gandhi Road (purple line),HAL police station ,Work,"Chikkabidarekall,",Home,14:30:00,Bus1 + Metro + Bus2 ,90,Walk ,10,0.5 to 1 km ,5,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,5,7,No ,65,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Bus and Metro ,26-35 yrs ,Graduate,Employed,,0.0,2,1,0,0,10,-1,2,1,4,2,3,1,1,1,1,1
615,Jalahalli (green line),Vijayanagar (purple line),"Vijaynagar, moodalpalya,BOB bank",Other,"Chikbannavara, tharbhanahalli",Friend,13:30:00,Bus1 + Metro + Bus2 ,60,Walk ,10,< 0.5 km ,60,Walk ,2,< 0.5 km ,,For neither access nor egress trips ,5,8,No ,42,No crowding  - 50-75% of seats occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,36-45 yrs ,10th,Unemployed,,0.0,1,1,0,0,10,-1,8,7,4,3,1,1,1,0,1,1
616,Jalahalli (green line),South End Circle (green line),Jaynagar 2nd block ,School,Jalahalli cross bus stop ,Home,15:05:00,Metro ,35,Walk ,2,< 0.5 km ,8,Walk ,5,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - 50-75% of seats occupied ,Male,,,Metro ,18-25 yrs ,Graduate,Student,,0.0,0,0,0,0,10,-1,3,1,1,1,1,3,1,1,1,1
617,Cubbon Park (purple line),Magadi Road (purple line),"Magadi road,near metro station ",Home,"Vasanth nagar ,mount Carmel college ",School,14:10:00,Bus + Metro ,50,Walk ,2,< 0.5 km ,5,Walk ,5,0.5 to 1 km ,,For access trip only ,3,8,Metro card ,0,No crowding  - Most ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25 yrs ,Graduate,Student,,1.0,2,1,0,0,10,-1,1,3,2,1,1,3,2,0,1,1
618,Halasuru (purple line),Vijayanagar (purple line),Vijaynagar near G K wallah,Other,Halasuru near cmh road,Home,14:50:00,Metro ,30,Walk ,20,1 km to 1.5 km ,6,Walk ,10,0.5 to 1 km ,,For access trip only ,,,Metro card ,0,No crowding  - Most ,Female,,,Metro ,18-25 yrs ,Graduate,Student,,1.0,1,0,0,0,10,-1,8,1,1,1,4,3,2,0,1,1
619,Jalahalli (green line),Yelachenahalli (green line),"Nandan palace, yelachenahalli ",Friend,Jalahalli metro station near ,Home,15:00:00,Metro ,60,Two-Wheeler ,15,4 km to 4.5 km ,8,Dropped-off by friends/others ,19,2.5 km to 3 km ,1,For neither access nor egress trips ,,,Metro card ,0,No crowding  - 50-75% of seats occupied ,Male,,,Metro ,36-45 yrs ,Graduate,Business,"1,00,001 – 2,00,000",1.0,1,0,0,0,10,-1,7,1,1,3,10,7,1,1,3,8
620,Jalahalli (green line),Kengeri (purple line),"Ramohalli cross, kumbalgodu ",School,"Jalahalli cross,TVS cross",Home,15:00:00,Bus1 + Metro + Bus2 ,80,Walk ,5,< 0.5 km ,5,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,5,8,No ,80,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Bus and Metro ,18-25 yrs ,Graduate,Employed,"1,00,001 – 2,00,000",0.0,1,0,0,0,10,-1,3,1,4,1,1,1,1,1,1,1
621,Jalahalli (green line),Konanakunte Cross (green line),Harinagar cross,Home,"Acharya institute,Peenya industrial area ",School,15:20:00,Metro + Bus ,60,Walk ,10,0.5 to 1 km ,9,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,5,5,Metro card ,5,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,,Bus and Metro ,18-25 yrs ,12th,Student,,0.0,1,0,0,0,10,-1,1,3,3,1,3,1,1,1,1,1
622,Kengeri (purple line),Nagasandra (green line),HMT layout ,Home,rr medial college ,School,15:30:00,Bus + Metro ,75,Walk ,5,< 0.5 km ,5,Auto Rickshaw ,10,2.5 km to 3 km ,5,For egress trip only ,5,6,Metro card ,20,No crowding  - 50-75% of seats occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25 yrs ,Graduate,Student,"<=10,000",1.0,2,1,0,0,10,-1,1,3,2,1,1,7,4,0,1,5
623,Kengeri (purple line),Vijayanagar (purple line),Vijaynagar polar bear,Home,RRMCH,School,15:30:00,Bus1 + Metro + Bus2 ,40,Walk ,5,< 0.5 km ,5,Walk ,10,< 0.5 km ,,For both access and egress trips ,5,3,Metro card ,0,No crowding  - 25-50% of seats occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25 yrs ,Graduate,Student,"<=10,000",1.0,1,1,0,0,10,-1,1,3,4,1,1,1,3,0,1,1
624,Jalahalli (green line),"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Near KBS,Home,Sumbram college ,School,14:30:00,Metro ,35,Dropped-off by friends/others ,35,> 5 km ,8,Dropped-off by friends/others ,30,> 5 km ,15,For neither access nor egress trips ,,,Metro card ,0,No crowding  - 25-50% of seats occupied ,Male,,,Metro ,18-25 yrs ,Graduate,Student,,0.0,1,1,0,0,10,-1,1,3,1,1,8,8,1,1,8,8
625,Jalahalli (green line),Yelachenahalli (green line),"Bannerghatta road,royal Meenakshi mall ",Work,"Dasarahalli, dynamic factory ",Work,15:30:00,Metro ,75,Dropped-off by friends/others ,20,2.5 km to 3 km ,8,Dropped-off by friends/others ,20,3.5 km to 4 km ,5,For both access and egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,36-45 yrs ,Graduate,Employed,"50,001 – 1,00,000",1.0,1,0,0,0,10,-1,2,2,1,3,7,9,3,1,8,8
626,Jalahalli (green line),Mantri Square Sampige Road (green line),"Mantri mall near, vaiyalikaval",Friend,"Dasarahalli, TVS cross",Work,03:00:00,Metro ,60,Walk ,10,0.5 to 1 km ,8,Walk ,15,2.5 km to 3 km ,,For egress trip only ,,,No ,30,No crowding  - 25-50% of seats occupied ,Male,,,Bus ,18-25 yrs ,12th,Student,,0.0,0,0,0,0,10,-1,7,2,1,1,3,7,4,1,1,1
627,Jalahalli (green line),Indiranagar (purple line),"Indranagar, near metro station ",Home,Peenya 4th phase ,Work,15:45:00,Metro ,60,Auto Rickshaw ,15,2.5 km to 3 km ,8,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,No ,70,No crowding  - 50-75% of seats occupied ,Female,,,Metro ,46-60 yrs ,Postgraduate,Employed,,2.0,2,0,0,0,10,-1,1,2,1,4,7,1,1,0,5,1
628,Jalahalli (green line),Konanakunte Cross (green line),"Konankunte cross, forum mall ",Home,Tikki Village ,Restaurant,16:00:00,Metro ,90,Ola/Uber car ,25,> 5 km ,8,Two-Wheeler ,3,0.5 to 1 km ,,For both access and egress trips ,,,Metro card ,0,No crowding  - Most ,Male,,,Metro ,18-25 yrs ,Graduate,Student,,0.0,2,0,0,0,10,-1,1,5,1,1,8,3,3,1,6,3
629,Jalahalli (green line),Goraguntepalya (green line),"BDA complex,  near nagarbhavi",Home,Reva university ,School,15:50:00,Metro + Bus ,90,Two-Wheeler ,45,> 5 km ,10,Two-Wheeler ,15,1.5 km to 2 km ,,For egress trip only ,3,15,No ,15,No crowding  - 50-75% of seats occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25 yrs ,12th,Student,"50,001 – 1,00,000",1.0,2,0,0,0,10,-1,1,3,3,1,8,2,4,0,3,3
630,Jalahalli (green line),National College (green line),"Basavnagudi,Hanuman nagar ",Home,"Peenya,blue hat",Work,16:30:00,Bus1 + Metro + Bus2 ,45,Walk ,5,< 0.5 km ,5,Walk ,5,< 0.5 km ,,For both access and egress trips ,5,10,Metro card ,20,High crowding - All seats AND 50-75% of standing space occupied ,Male,,,Bus and Metro ,26-35 yrs ,Graduate,Employed,>2 Lakhs,2.0,3,1,2,0,10,-1,1,2,4,2,1,1,3,1,1,1
631,Jalahalli (green line),Jayanagar (green line),Dential hospital in jayanagar 4th block ,Other,Ayyapa temple near Jalahalli cross,Home,16:30:00,Metro ,50,Rapido/Uber moto/Ola App two-wheeler ,10,2 km to 2.5 km ,8,Walk ,10,0.5 to 1 km ,,For both access and egress trips ,,,No ,70,No crowding  - Most ,Female,,,Metro ,26-35 yrs ,Postgraduate,Employed,,1.0,2,0,0,0,10,-1,8,1,1,2,11,3,3,0,7,1
632,Jalahalli (green line),Yeshwanthpur (green line),Railway station ,Social,"HSR layout, sector 7",Home,15:30:00,Bus + Metro ,120,Walk ,2,< 0.5 km ,1,Walk ,2,< 0.5 km ,,For neither access nor egress trips ,2,8,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Eligible but do not use ,Bus ,Bus ,18-25 yrs ,Graduate,Employed,,1.0,1,1,0,0,10,-1,6,1,2,1,1,1,1,0,1,1
633,Jalahalli (green line),Jayanagar (green line),"Jaynagar, NICT",School,Peenya 2nd stage ,Home,17:00:00,Bus + Metro ,90,Walk ,5,0.5 to 1 km ,5,Walk ,5,0.5 to 1 km ,,For both access and egress trips ,3,10,No ,60,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Bus and Metro ,18-25 yrs ,Graduate,Student,,1.0,1,1,0,0,10,-1,3,1,2,1,3,3,3,1,1,1
634,Jalahalli (green line),Mahakavi Kuvempu Road (green line),"Rajajinagar, Subramanya temple ",Home,Peenya 2nd stage ,Work,17:00:00,Metro ,50,Walk ,20,1 km to 1.5 km ,8,Walk ,5,< 0.5 km ,,For access trip only ,,,No ,27,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,26-35 yrs ,Graduate,Employed,,0.0,1,0,0,0,10,-1,1,2,1,2,4,1,2,1,1,1
635,Jalahalli (green line),Banashankari (green line),Kumarswamy layout,Home,"NTTF , Peenya 1st stage ",Friend,17:30:00,Bus + Metro ,90,Walk ,5,0.5 to 1 km ,1,Walk ,15,1 km to 1.5 km ,,For both access and egress trips ,2,8,Metro card ,5,No crowding  - 50-75% of seats occupied ,Male,,,Metro ,18-25 yrs ,Graduate,Employed,,0.0,2,1,0,0,10,-1,1,7,2,1,3,4,3,1,1,1
636,Jalahalli (green line),Baiyappanahalli (purple line),Baiyappanahalli near metro station ,Work,"Laggere, friends circle ",Home,17:10:00,Bus + Metro ,60,Walk ,10,1 km to 1.5 km ,5,Walk ,20,1 km to 1.5 km ,,For both access and egress trips ,2,4,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,,Metro ,18-25 yrs ,Graduate,Employed,,0.0,2,0,0,0,10,-1,2,1,2,1,4,4,3,1,1,1
637,,Nagasandra to Silk institute ,Majestic ,Work,"Jalahalli,csi kannada kittel church dasarahalli",Home,08:15:00,Metro ,40,Walk ,15,0.5 to 1 km ,5,Walk ,15,1 km to 1.5 km ,,For egress trip only ,,,Metro card ,0,Very high crowding - All seats AND most standing space occupied ,Male,,,Metro ,26-35 yrs ,Graduate,Employed,"25,001 – 50,000",3.0,1,1,1,0,10,-1,2,1,1,2,3,4,4,1,1,1
638,Jallalhi,,"McGrath road, MG road",Work,"Abbigere,  main road",Home,08:15:00,Bus + Metro ,90,Auto Rickshaw ,10,0.5 to 1 km ,0,Walk ,10,0.5 to 1 km ,,For both access and egress trips ,5,5,No ,10,High crowding - All seats AND 50-75% of standing space occupied ,Female,Yes ,Bus ,Bus ,36-45yrs ,Graduate,Employed,>2 Lakhs,1.0,2,0,0,0,10,-1,2,1,2,3,3,3,3,0,5,1
639,,Nagasandra to Silk institute ,"South end circle,Allen coaching institute ",School,"Dasarahalli, people tree hospital ",Home,08:30:00,Metro ,50,Walk ,5,< 0.5 km ,5,Walk ,5,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,Very high crowding - All seats AND most standing space occupied ,Male,,,Metro ,18-25 yrs ,12th,Student,"50,001 – 1,00,000",0.0,1,0,0,0,10,-1,3,1,1,1,1,3,1,1,1,1
640,,Majestic baiyapanahali,Kotalahalli White field ,Work,Baswanakuli National College ,Home,08:30:00,Metro+bus+metro ,60,Walk ,5,0.5 to 1 km ,2,Walk ,3,0.5 to 1 km ,,For both access and egress trips ,2,2,Metro card ,30,High crowding - All seats AND 50-75% of standing space occupied ,Male,,,I was not making this trip ,18-25 yrs ,Graduate,Employed,"50,001 – 1,00,000",0.0,1,0,0,0,10,-1,2,1,0,1,3,3,3,1,1,1
641,Mahalakshmi ,,Kanban park,Work,Yellapura Tumkur,Home,07:00:00,Metro ,120,Two-Wheeler ,10,> 5 km ,0,Walk ,10,0.5 to 1 km ,,For egress trip only ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Male,,,Metro ,26-35 yrs ,Postgraduate,Employed,>2 Lakhs,2.0,2,0,0,0,10,-1,2,1,1,2,8,3,4,1,3,1
642,,Nagasandra-silk institute ,MantriSquare,Work,Jalahalli,Home,08:00:00,Metro ,45,Walk ,12,1 km to 1.5 km ,5,Walk ,10,1.5 km to 2 km ,,For neither access nor egress trips ,,,Metro card ,35,High crowding - All seats AND 50-75% of standing space occupied ,Male,,,Metro ,26-35 yrs ,Graduate,Employed,"10,001 – 25,000",1.0,1,1,0,0,10,-1,2,1,1,2,4,2,1,1,1,1
643,,Majestic baiyapanahali ,Vaidahi hospital White field ,Work,Good shed road kotenpet,Home,08:30:00,Metro ,90,Walk ,10,0.5 to 1 km ,4,Company cab,0,> 5 km ,2,For access trip only ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,46-60 yrs ,Graduate,Employed,"25,001 – 50,000",1.0,1,0,0,0,10,-1,2,1,1,4,3,8,2,0,1,10
644,,Nagasandra to Silk institute ,Nation college ,School,Rajarajinagar ram mandir temple ,Home,08:45:00,Metro ,15,Two-Wheeler ,7,1.5 km to 2 km ,2,Walk ,2,< 0.5 km ,,For access trip only ,,,Metro card ,0,Very high crowding - All seats AND most standing space occupied ,Male,,,Metro ,18-25 yrs ,Graduate,Student,>2 Lakhs,1.0,1,0,0,0,10,-1,3,1,1,1,2,1,2,1,3,1
645,,Baya,Dasavelli,Work,Krishna theatre Kr puram,Home,08:30:00,Bus+metro,180,Walk ,15,< 0.5 km ,8,Walk ,10,< 0.5 km ,,For both access and egress trips ,10,3,Ordinary Monthly Pass ,100,No crowding - Less than 25% of seats occupied ,Male,,,Metro ,36-45 yrs ,Graduate,Employed,"25,001 – 50,000",1.0,1,0,0,0,10,-1,2,1,0,3,1,1,3,1,1,1
646,,Baiyapanahali majestic ,Mehkri circle ,Work,CV Raman nagar ,Home,08:30:00,Metro + Bus ,75,Walk ,15,0.5 to 1 km ,0,Walk ,2,< 0.5 km ,,For access trip only ,12,13,No ,45,High crowding - All seats AND 50-75% of standing space occupied ,Male,,,Bus and Metro ,26-35 yrs ,Postgraduate,Employed,"1,00,001 – 2,00,000",0.0,0,0,0,0,10,-1,2,1,3,2,3,1,2,1,1,1
647,,Mantri square,4th block vijaya college opposite jayanagara,School,8th,Home,08:00:00,Metro ,45,Two-Wheeler ,10,4 km to 4.5 km ,10,Walk ,10,0.5 to 1 km ,,For both access and egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Male,,,Metro ,18-25 yrs ,12th,Student,,1.0,1,1,0,0,10,-1,3,1,1,1,10,3,3,1,3,1
648,,Nag silk,Trinity ,Work,Abbigere,Home,08:30:00,Personal vehicle ,60,Two-Wheeler ,15,4.5 km to 5 km ,5,Walk ,2,< 0.5 km ,,For access trip only ,2,5,Metro card ,47,High crowding - All seats AND 50-75% of standing space occupied ,Male,,,Metro ,26-35 yrs ,Graduate,Employed,>2 Lakhs,1.0,1,0,0,0,10,-1,2,1,0,2,6,1,2,1,3,1
649,,Nagasandra-Silk board,National ,Work,Near yeswanthpur railway sation,Home,09:00:00,Metro ,63,Walk ,20,1 km to 1.5 km ,0,Walk ,25,2 km to 2.5 km ,,For neither access nor egress trips ,,,No ,30,High crowding - All seats AND 50-75% of standing space occupied ,Male,,,I was not making this trip ,18-25 yrs ,12th,Employed,"10,001 – 25,000",0.0,0,0,0,0,10,-1,2,1,1,1,4,11,1,1,1,1
650,,South end circle ,"Btm layout, near to kuvempu bustop",Work,"Rajajinagar, 4th block",Home,08:55:00,Metro + Bus ,50,Walk ,5,< 0.5 km ,2,Walk ,5,< 0.5 km ,,For both access and egress trips ,3,0,No ,0,High crowding - All seats AND 50-75% of standing space occupied ,Male,,,Metro ,26-35 yrs ,Graduate,Employed,,1.0,1,0,0,0,10,-1,2,1,3,2,1,1,3,1,1,1
651,,Nagasandra to Silk institute ,JP nagar jaraganahalli park ,Home,Mysore ,Home,05:50:00,Train+ metro ,250,Train ,175,> 5 km ,7,Walk ,15,1 km to 1.5 km ,,For neither access nor egress trips ,5,7,Mobility card ,100,High crowding - All seats AND 50-75% of standing space occupied ,Male,,,Metro ,26-35 yrs ,Graduate,Employed,,0.0,1,0,0,0,10,-1,1,1,0,2,8,4,1,1,11,1
652,,Baiyapanahali kengeri ,Anjanapuram Ram nagar ,Work,Kaveri nagar,Home,08:00:00,Bus1 + Metro + Bus2 ,240,Walk ,10,0.5 to 1 km ,5,Walk ,5,< 0.5 km ,,For both access and egress trips ,12,0,No ,55,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,Bus ,Bus and Metro ,18-25yrs ,Graduate,Student,"10,001 – 25,000",0.0,0,0,0,0,10,-1,2,1,4,1,3,1,3,0,1,1
653,,Nagasandra to Silk institute ,"Taragatapura,",Home,Gulbarga ,Home,19:00:00,Bus + Metro ,900,Two-Wheeler ,120,> 5 km ,60,Dropped-off by friends/others ,60,> 5 km ,5,For neither access nor egress trips ,30,10,Metro card ,610,Very high crowding - All seats AND most standing space occupied ,Male,,,Metro ,18-25 yrs ,10th,Employed,"10,001 – 25,000",0.0,1,0,0,0,10,-1,1,1,2,1,8,8,1,1,3,8
