,Unnamed: 0,M_ORIGIN,M_DESTINATION,D_LANDMARK,D_TYPE,O_LANDMARK,O_TYPE,START_TIME,TRIP_SEQUENCE,TOTAL_TIME,ACCESS_MODE,ACCESS_TIME,ACCESS_DISTANCE,WT_FS,EGRESS_MODE,EGRESS_TIME,EGRESS_DISTANCE,WT_FIS,BICYCLE_USE,TRANSFER_TIME,WAITING_TIME_SECOND_STOP,PASS,TOTAL_COST,CROWDING,GENDER,S_1,S_2,S_3,AGE,EDUCATION,OCCUPATION,INCOME,CARS,TWO_WHEELER,N_BICYCLES,OTHERS,PARKING,RENT,PARK,DESTINATION,ORIGIN,TRIP,AGE_C,ACCESS_DIS,EGRESS_DIS,RENT_BICYCLE,MALE,ACCESS_M,EGRESS_M
905,905,Majestic ,,"Indranagar,msm corner",Work,"Mahalaxmi layout,Ganesha temple ",Home,00:00:00,Metro ,60,Walk ,15,1 km to 1.5 km ,5,Walk ,15,1 km to 1.5 km ,,For both access and egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Employed,,0.0,2,0,0,0,10,-1,2,1,1,1,4,4,3,0,1,1
907,907,Majestic,,Bangalore university ,Home,Jaynagar city college ,Work,11:30:00,Bus1  + metro + bus2+ metro,60,Walk ,5,< 0.5 km ,10,Bus,5,< 0.5 km ,10.0,For neither access nor egress trips ,2.0,5.0,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,36-45yrs ,Postgraduate,Employed,,1.0,2,0,0,0,10,-1,1,2,0,3,1,1,1,0,1,12
916,916,,Silk institute to nagasandra ,"Nagasandra,  ikea",Home,"Shivajinagar, main road only ",Shopping,13:30:00,Metro ,90,Auto Rickshaw ,30,> 5 km ,5,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,90,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,,Metro ,36-45 yrs ,Postgraduate,Employed,,1.0,1,1,0,0,10,-1,1,4,1,3,8,3,1,0,5,1
918,918,Purple line ,,"R.t nagar, near Sai Baba temple ",Home,"Trinity, ramanashree arcade ",Work,14:00:00,Metro + Bus ,45,Walk ,5,< 0.5 km ,4,Dropped-off by friends/others ,20,> 5 km ,10.0,For egress trip only ,1.0,20.0,Metro card ,50,Low crowding - All seats AND up to 25% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,46-60yrs ,Graduate,Employed,>2 Lakhs,1.0,2,0,0,0,10,-1,1,2,3,4,1,8,4,0,1,8
919,919,,Nagasandra yeswatpur ,Shivmoka ,Home,Venugopal nagar ,Friend,14:15:00,Metro ,12,Two-Wheeler ,19,1 km to 1.5 km ,3,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - Most ,Female,,,Metro ,18-25 yrs ,Graduate,Employed,"1,00,001 – 2,00,000",0.0,0,0,0,0,10,-1,1,7,1,1,4,1,1,0,3,1
925,925,,Purple line,Indiranagara metro station,Other,Kengeri RR medical college,Home,14:35:00,Metro ,90,Auto Rickshaw ,10,2.5 km to 3 km ,5,Walk ,10,0.5 to 1 km ,,For both access and egress trips ,,,Metro card ,300,Very high crowding - All seats AND most standing space occupied ,Female,,,Bus and Metro ,36-45 yrs ,Postgraduate,Employed,>2 Lakhs,1.0,0,2,0,0,10,-1,8,1,1,3,7,3,3,0,5,1
926,926,,Purple line ,"Vidya Peeta circle,chenamma kerr Street ",Home,"Kambipure,ACS engineering college ",School,02:30:00,Bus1 + Metro + Bus2 ,60,Walk ,15,0.5 to 1 km ,5,Walk ,5,< 0.5 km ,,For access trip only ,2.0,3.0,Metro card ,0,No crowding - Less than 25% of seats occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,Postgraduate,Student,,1.0,1,0,0,0,10,-1,1,3,4,1,3,1,2,0,1,1
929,929,,Purple line ,"Whitefield,phoenix mall",Shopping,"Kengeri ,Christ University ",School,02:30:00,Bus1 + Metro + Bus2 ,120,Walk ,2,< 0.5 km ,5,Auto Rickshaw ,15,1 km to 1.5 km ,5.0,For both access and egress trips ,1.0,4.0,No ,150,No crowding - Less than 25% of seats occupied ,Female,Eligible but do not use ,Bus + Metro ,Bus and Metro ,18-25yrs ,12th,Student,,1.0,2,0,0,0,10,-1,4,3,4,1,1,4,3,0,1,5
930,930,,Purple line kengeri to byp,Vijaynagar atiiguppe,Home,RV college ,Work,14:45:00,Metro ,30,Walk ,10,< 0.5 km ,10,Walk ,10,0.5 to 1 km ,,For both access and egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,,Bus and Metro ,26-35 yrs ,Graduate,Employed,,1.0,1,0,0,0,10,-1,1,2,1,2,1,3,3,0,1,1
931,931,,Chekpet jpnagar,Veja city,Home,Chekpet market ,Shopping,15:00:00,Metro + Bus ,45,Walk ,15,0.5 to 1 km ,0,Auto Rickshaw ,5,< 0.5 km ,0.0,For access trip only ,2.0,0.0,No ,50,Low crowding - All seats AND up to 25% of standing space occupied ,Female,Yes ,Bus + Metro ,Auto Rickshaw ,18-25yrs ,Graduate,Student,"25,001 – 50,000",0.0,0,0,0,0,10,-1,1,4,3,1,3,1,2,0,1,5
933,933,,Kengeri to byp,Chikpete sudarshan,Shopping,Bidadi town,Home,14:15:00,Bus + Metro ,150,Walk ,5,< 0.5 km ,10,Walk ,15,1 km to 1.5 km ,,For both access and egress trips ,2.0,2.0,No ,80,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,26-35yrs ,Postgraduate,Employed,,0.0,1,0,0,0,10,-1,4,1,2,2,1,4,3,0,1,1
934,934,,Purple line ,"Magadi road ,magadi",Home,"Global village ,kengeri",Work,14:45:00,Metro + Bus ,120,Bicycle ,5,2 km to 2.5 km ,10,Walk ,15,< 0.5 km ,,For neither access nor egress trips ,5.0,30.0,Metro card ,50,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Employed,"25,001 – 50,000",0.0,1,0,0,0,10,-1,1,2,3,1,11,1,1,0,2,1
937,937,Jalahalli ,,"Halsuru, near by police station ",Other,"Jalahalli,  ayyapaswami temple, ideal school ",Home,15:15:00,Bus + Metro ,70,Walk ,10,0.5 to 1 km ,5,Walk ,25,1 km to 1.5 km ,,For both access and egress trips ,5.0,5.0,No ,45,No crowding  - 50-75% of seats occupied ,Female,Yes ,Bus ,Bus ,26-35yrs ,Graduate,Employed,,0.0,1,0,0,0,10,-1,8,1,2,2,3,4,3,0,1,1
938,938,,Purple line ,"Mg road,laludas shoe makers,brigade road",Work,Banshakari 5th stage rns institute ,Home,14:30:00,Metro ,60,Auto Rickshaw ,30,3.5 km to 4 km ,10,Walk ,6,1 km to 1.5 km ,,For both access and egress trips ,,,Metro card ,60,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Student,,1.0,1,2,0,0,10,-1,2,1,1,1,9,4,3,0,5,1
939,939,,Purple line kegeri to byappanahalli ,MG road ,Shopping,"Majestic 
",School,15:23:00,Metro ,10,Walk ,15,1 km to 1.5 km ,7,Walk ,5,< 0.5 km ,,For both access and egress trips ,,,Metro card ,30,Very high crowding - All seats AND most standing space occupied ,Female,,,Metro ,18-25 yrs ,12th,Student,"10,001 – 25,000",1.0,2,0,0,0,10,-1,4,3,1,1,4,1,3,0,1,1
945,945,,Kengeri to bayappanahalli ,Byappanahalli DC palya,Home,Kengeri metro ,Social,14:30:00,Metro ,90,Auto Rickshaw ,15,> 5 km ,4,Auto Rickshaw ,15,> 5 km ,5.0,For both access and egress trips ,,,Metro card ,200,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,,Metro ,26-35 yrs ,Postgraduate,Employed,>2 Lakhs,1.0,3,0,0,0,10,-1,1,6,1,2,8,8,3,0,5,5
949,949,,Kengeri to bayappanahalli ,Byappanahalli RMZ infinity ,Work,NR colony,Home,15:05:00,Bus + Metro ,60,Walk ,5,< 0.5 km ,10,Walk ,15,0.5 to 1 km ,,For both access and egress trips ,5.0,7.0,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,36-45yrs ,Graduate,Employed,,1.0,1,0,0,0,10,-1,2,1,2,3,1,3,3,0,1,1
952,952,,Byp to kengeri,Hosahalli reliance ,Home,Whitefield railway station ,Work,15:15:00,Metro + Bus ,60,Walk ,10,0.5 to 1 km ,5,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,1.0,5.0,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Not eligible ,Bus + Metro ,Bus and Metro ,36-45yrs ,12th,Employed,,0.0,1,0,0,0,10,-1,1,2,3,3,3,3,1,0,1,1
956,956,Jalahalli ,,Banashankari temple,Social,"Shivapura main road, 1st cross ",Home,16:00:00,Metro ,40,Two-Wheeler ,10,2 km to 2.5 km ,5,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,No ,50,No crowding  - 25-50% of seats occupied ,Female,,,Metro ,26-35 yrs ,Graduate,Unemployed,,0.0,1,0,0,0,10,-1,6,1,1,2,11,1,1,0,3,1
957,957,,Byp to kengeri,Tumkur saptagiri extension,Home,Bellandur eco world ,Work,15:00:00,Metro + Bus ,180,Company cab,45,> 5 km ,3,Dropped-off by friends/others ,10,2.5 km to 3 km ,2.0,For egress trip only ,5.0,2.0,No ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Employed,,2.0,2,1,0,0,10,-1,1,2,3,1,8,7,4,0,10,8
962,962,Majestic ,,Jyanabharathi Bangalore university ,Home,Marath halli kadubeesnahalli,Work,15:00:00,Metro ,120,Rapido/Uber moto/Ola App two-wheeler ,10,2.5 km to 3 km ,7,Dropped-off by friends/others ,10,2.5 km to 3 km ,7.0,For neither access nor egress trips ,,,No ,100,Very high crowding - All seats AND most standing space occupied ,Female,,,Metro ,18-25 yrs ,Postgraduate,Employed,>2 Lakhs,1.0,3,0,0,0,10,-1,1,2,1,1,7,7,1,0,7,8
963,963,,Baiyapanahali kengeri ,Ram nagar ,Home,HP company ,Work,15:30:00,Metro + Bus ,90,Auto Rickshaw ,10,4.5 km to 5 km ,0,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,2.0,13.0,No ,200,Low crowding - All seats AND up to 25% of standing space occupied ,Female,Yes ,Bus ,Bus and Metro ,18-25yrs ,Postgraduate,Employed,>2 Lakhs,0.0,0,0,0,0,10,-1,1,2,3,1,6,3,1,0,5,1
967,967,,Rajarajeswari - cubban park ,Shivaji nagar Cubban park ,Home,PES,School,16:30:00,Bus + Metro ,40,Walk ,5,< 0.5 km ,10,Walk ,15,1 km to 1.5 km ,,For both access and egress trips ,0.0,5.0,Mobility card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Female,Yes ,Bus ,Bus ,18-25yrs ,Graduate,Student,"1,00,001 – 2,00,000",1.0,1,1,0,0,10,-1,1,3,2,1,1,4,3,0,1,1
968,968,,Jalahalli ,Malleshwaram 8th cross,Home,"Ms palya, kasipo restuarant ",Restaurant,16:00:00,Bus + Metro ,90,Walk ,10,0.5 to 1 km ,5,Walk ,10,0.5 to 1 km ,,For both access and egress trips ,7.0,5.0,No ,28,No crowding  - 25-50% of seats occupied ,Female,Yes ,Bus ,Metro ,18-25yrs ,12th,Student,,0.0,0,0,0,0,10,-1,1,5,2,1,3,3,3,0,1,1
980,980,Sandal soap factory,,Peenya,Home,Sandal soap factory ,Shopping,18:15:00,Metro ,10,Walk ,5,< 0.5 km ,7,Walk ,7,1 km to 1.5 km ,,For egress trip only ,,,No ,15,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Employed,"25,001 – 50,000",0.0,1,0,0,0,10,-1,1,4,1,1,1,4,4,0,1,1
986,986,,Silk institute to nagasandra ,"Nagasandra, kennametal india ltd",Work,"Peenya, laggere",Home,08:00:00,Metro ,40,Auto Rickshaw ,10,1.5 km to 2 km ,5,Walk ,5,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,80,No crowding  - 50-75% of seats occupied ,Female,,,Metro ,26-35 yrs ,Graduate,Employed,,0.0,2,0,0,0,10,-1,2,1,1,2,2,3,1,0,5,1
988,988,,Nagasandra to silk institute ,"Lalbag, KPMS associate ",Work,"Nagasandra, manjunath nagara",Home,08:30:00,Metro ,45,Walk ,10,0.5 to 1 km ,2,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - Most ,Female,,,Metro ,26-35 yrs ,10th,Employed,,0.0,1,0,0,0,10,-1,2,1,1,2,3,3,1,0,1,1
991,991,,Byp to kengeri ,Attiguppe inisight IAS ,School,Cubbon  park CNK public school ,Home,08:15:00,Metro ,35,Walk ,13,1.5 km to 2 km ,3,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Student,,1.0,4,1,0,0,10,-1,3,1,1,1,2,3,1,0,1,1
993,993,,Kengeri-byappanahalli,"Uttarhalli,Shakti hill resort",Friend,"CV Raman nagar, comfort hospital ",Home,08:30:00,Metro ,40,Two-Wheeler ,10,1 km to 1.5 km ,5,Auto Rickshaw ,15,0.5 to 1 km ,7.0,For both access and egress trips ,,,Metro card ,100,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,,Metro ,36-45 yrs ,Graduate,Unemployed,,0.0,2,0,0,0,10,-1,7,1,1,3,4,3,3,0,3,5
994,994,,K,RV University ,School,BTM lake,Home,08:00:00,Metro ,60,Auto Rickshaw ,15,1 km to 1.5 km ,5,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,200,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,18-25 yrs ,12th,Student,,2.0,1,1,0,0,10,-1,3,1,1,1,4,1,1,0,5,1
996,996,,Kengeri -byapanahalli,"Banshakari,pes college ",Work,"Halasuru,halasuru police station ,jogupalya",Home,08:00:00,Metro + Bus ,75,Walk ,5,< 0.5 km ,6,Walk ,10,0.5 to 1 km ,,For egress trip only ,5.0,15.0,No ,120,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Eligible but do not use ,Bus + Metro ,Bus and Metro ,18-25yrs ,Postgraduate,Student,,0.0,1,0,0,0,10,-1,2,1,3,1,1,3,4,0,1,1
997,997,Mysuru road,,Pattanagere RV college ,Work,Vijaynagar shobha hospital ,Home,08:45:00,Metro ,60,Walk ,15,1 km to 1.5 km ,5,Auto Rickshaw ,13,> 5 km ,5.0,For neither access nor egress trips ,,,Metro card ,60,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,26-35 yrs ,Graduate,Employed,,0.0,0,0,0,0,10,-1,2,1,1,2,4,8,1,0,1,5
999,999,,Kengeri-byappanahalli ,Christ college,School,"National college,vv puram food street",Home,08:40:00,Metro + Bus ,90,Walk ,5,< 0.5 km ,7,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,6.0,15.0,Metro card ,0,Very high crowding - All seats AND most standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,Postgraduate,Student,,3.0,1,0,0,0,10,-1,3,1,3,1,1,1,1,0,1,1
1000,1000,,Byp to kengeri ,Pattanagere global village ,Work,Akshay nagar,Home,08:00:00,Bus + Metro ,90,Two-Wheeler ,10,1 km to 1.5 km ,10,Dropped-off by friends/others ,10,1 km to 1.5 km ,5.0,For both access and egress trips ,5.0,3.0,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,26-35yrs ,Graduate,Employed,,1.0,1,0,0,0,10,-1,2,1,2,2,4,4,3,0,3,8
1003,1003,,Kengeri-byappanahalli ,"Majestic,anandrao circle ",Work,"Kengeri,Ganesha temple",Home,09:20:00,Bus + Metro ,45,Walk ,5,< 0.5 km ,2,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,2.0,5.0,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,26-35yrs ,Graduate,Employed,,0.0,1,0,0,0,10,-1,2,1,2,2,1,3,1,0,1,1
1004,1004,Silk institute ,,"SBI,Kumara park",Work,"Electronic city, lavakusha nagar",Home,09:15:00,Metro ,60,Two-Wheeler ,20,> 5 km ,8,Walk ,10,0.5 to 1 km ,,For egress trip only ,,,No ,43,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,,Metro ,26-35 yrs ,Graduate,Employed,>2 Lakhs,1.0,3,0,0,0,10,-1,2,1,1,2,8,3,4,0,3,1
1007,1007,Rajarajeshwari nagar,,Majestic civil court,Work,Rajarajeshwari comples,Home,09:30:00,Metro ,45,Two-Wheeler ,15,3 km to 3.5 km ,3,Rapido/Uber Moto/Ola two-wheeler ,15,2 km to 2.5 km ,3.0,For both access and egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,,Metro ,36-45 yrs ,Graduate,Business,"25,001 – 50,000",1.0,1,0,0,0,10,-1,2,1,1,3,5,11,3,0,3,7
1008,1008,Rajarajeshwari nagar,,"Whitefield, phoenix mall",Work,"Rajarajeshwari nagar,beml complex",Home,09:30:00,Metro + Bus ,120,Rapido/uber moto/Ola App two-wheeler ,30,2 km to 2.5 km ,8,Walk ,5,< 0.5 km ,,For access trip only ,3.0,30.0,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,26-35yrs ,Postgraduate,Employed,"25,001 – 50,000",0.0,1,1,0,0,10,-1,2,1,3,2,11,1,2,0,7,1
1010,1010,,Kengeri to bayappanahalli ,Visvesaraya college traffic court,Other,rr nagar gopalan arch,Home,09:45:00,Metro ,30,Walk ,15,1.5 km to 2 km ,5,Walk ,15,1.5 km to 2 km ,,For neither access nor egress trips ,,,Metro card ,0,Very high crowding - All seats AND most standing space occupied ,Female,,,Metro ,36-45 yrs ,Graduate,Unemployed,,0.0,1,0,0,0,10,-1,8,1,1,3,2,2,1,0,1,1
1012,1012,,Silk institute to nagasandra ,"kumarswamy layout, DS college ",Other,"DSATM, udhipalya",School,09:30:00,Bus + Metro ,45,Walk ,5,< 0.5 km ,5,Auto Rickshaw ,10,1.5 km to 2 km ,7.0,For both access and egress trips ,3.0,7.0,Metro card ,40,Low crowding - All seats AND up to 25% of standing space occupied ,Female,Yes ,Bus ,Metro ,18-25yrs ,12th,Student,,0.0,0,0,0,0,10,-1,8,3,2,1,1,2,3,0,1,5
1013,1013,,Kengeri to byappanahalli ,Mg road TOI building ,Work,RR nagar BDA apartment ,Home,09:20:00,Metro ,45,Bicycle ,12,2 km to 2.5 km ,5,Walk ,4,0.5 to 1 km ,,For both access and egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Bus ,18-25 yrs ,Postgraduate,Employed,"25,001 – 50,000",0.0,1,1,0,0,10,-1,2,1,1,1,11,3,3,0,2,1
1015,1015,,Silk institute to nagasandra ,Malleshwaram temple ,Social,"Vajrahalli, ragavendhra layout ",Home,09:40:00,Metro ,60,Two-Wheeler ,10,1 km to 1.5 km ,6,Pick up ,15,2.5 km to 3 km ,6.0,For neither access nor egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,26-35 yrs ,Graduate,Employed,"25,001 – 50,000",0.0,1,1,0,0,10,-1,6,1,1,2,4,7,1,0,3,8
1018,1018,Vishweshwaraya central college ,,"Maharani science college, vishweshwaraya stn",School,Janabharthi campus,Home,09:45:00,Bus + Metro ,25,Walk ,5,< 0.5 km ,15,Walk ,15,0.5 to 1 km ,,For neither access nor egress trips ,5.0,3.0,Metro card ,0,Very high crowding - All seats AND most standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,Postgraduate,Student,,1.0,1,0,0,0,10,-1,3,1,2,1,1,3,1,0,1,1
1019,1019,,Silk institute to Peenya industry ,"560044,basaveshwara nagar,mahaganapathi temple",Work,"JP nagar,7th phase,Vega City mall",Home,09:30:00,Bus1 + Metro + Bus2 ,75,Walk ,5,< 0.5 km ,10,Walk ,10,0.5 to 1 km ,,For both access and egress trips ,15.0,1.0,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,Yes ,Bus ,Bus and Metro ,18-25yrs ,Graduate,Employed,"50,001 – 1,00,000",0.0,2,0,0,0,10,-1,2,1,4,1,1,3,3,0,1,1
1021,1021,,Silk institute to nagasandra ,"Jalahalli, Asian paints office ",Work,"Sony signal, kormangla",Home,09:30:00,Metro ,90,Auto Rickshaw ,30,> 5 km ,1,Walk ,5,< 0.5 km ,,For both access and egress trips ,,,No ,150,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Employed,,0.0,0,0,0,0,10,-1,2,1,1,1,8,1,3,0,5,1
1024,1024,Peenya industries ,,Nelmangla bus stop,Other,"Rajajinagar, beside metro station ",Home,10:00:00,Metro ,20,Walk ,5,< 0.5 km ,7,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,,Metro ,18-25 yrs ,Postgraduate,Employed,,0.0,0,0,0,0,10,-1,8,1,1,1,1,1,1,0,1,1
1025,1025,Cubbon park,,"Cubbon park,vv tower ",Work,"Kr puram,Ignatius chruch",Home,09:30:00,Bus + Metro ,90,Walk ,10,0.5 to 1 km ,15,Walk ,5,< 0.5 km ,,For both access and egress trips ,15.0,2.0,Metro card ,0,Very high crowding - All seats AND most standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Student,,1.0,2,2,0,0,10,-1,2,1,2,1,3,1,3,0,1,1
1027,1027,Cubbon park,,Indiranagar 2nd stage ,Work,Yelahanka kogilu cross,Home,09:00:00,Bus + Metro ,90,Walk ,5,< 0.5 km ,3,Walk ,10,< 0.5 km ,,For neither access nor egress trips ,10.0,5.0,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,Postgraduate,Employed,"10,001 – 25,000",0.0,1,0,0,0,10,-1,2,1,2,1,1,1,1,0,1,1
1030,1030,,Kengeri to bayappanahalli ,Ramurthynagar ,Home,Konankunte crosa,Home,09:45:00,Bus + Metro ,150,Walk ,5,< 0.5 km ,2,Dropped-off by friends/others ,15,3 km to 3.5 km ,32.0,For both access and egress trips ,5.0,5.0,No ,50,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Not eligible ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Student,,1.0,1,0,0,0,10,-1,1,1,2,1,1,5,3,0,1,8
1033,1033,Indiranagar,,"Central college,civil court ",Work,"Bhima nagar,lic",Home,10:40:00,Metro ,45,Two-Wheeler ,10,0.5 to 1 km ,10,Walk ,5,< 0.5 km ,,For access trip only ,,,No ,44,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,,Metro ,46-60 yrs ,Graduate,Unemployed,"10,001 – 25,000",0.0,1,0,0,0,10,-1,2,1,1,4,3,1,2,0,3,1
1034,1034,Indiranagar ,,Cubbon park,Other,Indiranagar Vikas mega mart,Home,11:00:00,Metro ,15,Auto Rickshaw ,7,1.5 km to 2 km ,5,Walk ,5,0.5 to 1 km ,,For both access and egress trips ,,,Metro card ,70,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,,Bus and Metro ,18-25 yrs ,Graduate,Employed,,0.0,0,0,0,0,10,-1,8,1,1,1,2,3,3,0,5,1
1037,1037,Indiranagar ,, Indiranagar ,Work,Deepanjali nagar satellite,Home,10:00:00,Metro ,40,Two-Wheeler ,10,1 km to 1.5 km ,2,Walk ,3,< 0.5 km ,,For both access and egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,,Metro ,26-35 yrs ,Graduate,Employed,,0.0,2,0,0,0,10,-1,2,1,1,2,4,1,3,0,3,1
1038,1038,Indiranagar,,"Kengeri,kumbalgudu",Home,"Indiranagar,100 ft road, Bob's ",Work,11:15:00,Metro ,60,Walk ,15,1.5 km to 2 km ,8,Rapido/Uber Moto/Ola two-wheeler ,15,2.5 km to 3 km ,8.0,For both access and egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,26-35 yrs ,Graduate,Employed,,1.0,1,1,0,0,10,-1,1,2,1,2,2,7,3,0,1,7
1039,1039,,Nagasandra to silk institute ,"Corporation court, majestic ",Work,"Madavara, Vinayaka clinic ",Home,10:30:00,Bus + Metro ,90,Walk ,10,< 0.5 km ,5,Auto Rickshaw ,10,1.5 km to 2 km ,8.0,For neither access nor egress trips ,8.0,7.0,No ,90,No crowding  - 50-75% of seats occupied ,Female,Yes ,Metro ,Metro ,36-45yrs ,Graduate,Employed,,0.0,1,0,0,0,10,-1,2,1,2,3,1,2,1,0,1,5
1040,1040,Indiranagar ,,Deepanjali nagar ,Shopping,Indiranagar metro station ,Home,11:25:00,Metro ,20,Walk ,5,< 0.5 km ,3,Walk ,10,0.5 to 1 km ,,For both access and egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,,Metro ,26-35 yrs ,Graduate,Unemployed,,1.0,1,0,0,0,10,-1,4,1,1,2,1,3,3,0,1,1
1041,1041,Indranagar ,,"Banshakari,near temple ",Friend,"Ulsoor,isro colony",Friend,11:00:00,Metro ,40,Auto Rickshaw ,10,2 km to 2.5 km ,8,Auto Rickshaw ,10,1.5 km to 2 km ,8.0,For both access and egress trips ,,,No ,150,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,26-35 yrs ,Graduate,Employed,,0.0,2,0,0,0,10,-1,7,7,1,2,11,2,3,0,5,5
1042,1042,,Nagasandra to silk institute ,"HSR layout, 1st cross",Friend,Jalahalli cross bus stop,Other,11:30:00,Metro ,60,Walk ,5,< 0.5 km ,4,Ola/Uber car ,20,> 5 km ,5.0,For neither access nor egress trips ,,,Metro card ,70,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Employed,"25,001 – 50,000",0.0,0,0,0,0,10,-1,7,8,1,1,1,8,1,0,1,6
1043,1043,,Kengeri-byappanahalli ,Mantri square maleshwaram,Work,"Whitefield,hoody,nexus mall",Home,11:00:00,Bus1 + Metro + Bus2 ,75,Walk ,2,< 0.5 km ,8,Walk ,2,< 0.5 km ,,For neither access nor egress trips ,2.0,3.0,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,26-35yrs ,Graduate,Employed,,0.0,0,0,0,0,10,-1,2,1,4,2,1,1,1,0,1,1
1044,1044,,C,MG road st Joseph's college ,School,Indiranagar new horizon public school ,Home,11:15:00,Bus + Metro ,45,Walk ,2,< 0.5 km ,10,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,4.0,7.0,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,12th,Student,,1.0,2,1,0,0,10,-1,3,1,2,1,1,3,1,0,1,1
