,Unnamed: 0,M_ORIGIN,M_DESTINATION,D_LANDMARK,D_TYPE,O_LANDMARK,O_TYPE,START_TIME,TRIP_SEQUENCE,TOTAL_TIME,ACCESS_MODE,ACCESS_TIME,ACCESS_DISTANCE,WT_FS,EGRESS_MODE,EGRESS_TIME,EGRESS_DISTANCE,WT_FIS,BICYCLE_USE,TRANSFER_TIME,WAITING_TIME_SECOND_STOP,PASS,TOTAL_COST,CROWDING,GENDER,S_1,S_2,S_3,AGE,EDUCATION,OCCUPATION,INCOME,CARS,TWO_WHEELER,N_BICYCLES,OTHERS,PARKING,PARK,DESTINATION,ORIGIN,TRIP,ACCESS_DIS,EGRESS_DIS,RENT_BICYCLE,AGE_NEW,MALE,ACCESS,EGRESS
1003,1003,,Kengeri-byappanahalli ,"Majestic,anandrao circle ",Work,"Kengeri,Ganesha temple",Home,09:20:00,Bus + Metro ,45,Walk ,5,< 0.5 km ,2,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,2.0,5.0,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,26-35yrs ,Graduate,Employed,,0.0,1,0,0,1,1,2,1,2,1,3,1,0,0,1,1
1004,1004,Silk institute ,,"SBI,Kumara park",Work,"Electronic city, lavakusha nagar",Home,09:15:00,Metro ,60,Two-Wheeler ,20,> 5 km ,8,Walk ,10,0.5 to 1 km ,,For egress trip only ,,,No ,43,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,,Metro ,26-35 yrs ,Graduate,Employed,>2 Lakhs,1.0,3,0,0,1,1,2,1,1,8,3,4,3,0,0,1
1007,1007,Rajarajeshwari nagar,,Majestic civil court,Work,Rajarajeshwari comples,Home,09:30:00,Metro ,45,Two-Wheeler ,15,3 km to 3.5 km ,3,Rapido/Uber Moto/Ola two-wheeler ,15,2 km to 2.5 km ,3.0,For both access and egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,,Metro ,36-45 yrs ,Graduate,Business,"25,001 – 50,000",1.0,1,0,0,1,1,2,1,1,5,11,3,1,0,0,0
1008,1008,Rajarajeshwari nagar,,"Whitefield, phoenix mall",Work,"Rajarajeshwari nagar,beml complex",Home,09:30:00,Metro + Bus ,120,Rapido/uber moto/Ola App two-wheeler ,30,2 km to 2.5 km ,8,Walk ,5,< 0.5 km ,,For access trip only ,3.0,30.0,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,26-35yrs ,Postgraduate,Employed,"25,001 – 50,000",0.0,1,1,0,1,1,2,1,3,11,1,2,0,0,0,1
1010,1010,,Kengeri to bayappanahalli ,Visvesaraya college traffic court,Other,rr nagar gopalan arch,Home,09:45:00,Metro ,30,Walk ,15,1.5 km to 2 km ,5,Walk ,15,1.5 km to 2 km ,,For neither access nor egress trips ,,,Metro card ,0,Very high crowding - All seats AND most standing space occupied ,Female,,,Metro ,36-45 yrs ,Graduate,Unemployed,,0.0,1,0,0,1,1,8,1,1,2,2,1,1,0,1,1
1013,1013,,Kengeri to byappanahalli ,Mg road TOI building ,Work,RR nagar BDA apartment ,Home,09:20:00,Metro ,45,Bicycle ,12,2 km to 2.5 km ,5,Walk ,4,0.5 to 1 km ,,For both access and egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Bus ,18-25 yrs ,Postgraduate,Employed,"25,001 – 50,000",0.0,1,1,0,1,1,2,1,1,11,3,3,2,0,7,1
1015,1015,,Silk institute to nagasandra ,Malleshwaram temple ,Social,"Vajrahalli, ragavendhra layout ",Home,09:40:00,Metro ,60,Two-Wheeler ,10,1 km to 1.5 km ,6,Pick up ,15,2.5 km to 3 km ,6.0,For neither access nor egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,26-35 yrs ,Graduate,Employed,"25,001 – 50,000",0.0,1,1,0,1,1,6,1,1,4,7,1,3,0,0,0
1018,1018,Vishweshwaraya central college ,,"Maharani science college, vishweshwaraya stn",School,Janabharthi campus,Home,09:45:00,Bus + Metro ,25,Walk ,5,< 0.5 km ,15,Walk ,15,0.5 to 1 km ,,For neither access nor egress trips ,5.0,3.0,Metro card ,0,Very high crowding - All seats AND most standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,Postgraduate,Student,,1.0,1,0,0,1,1,3,1,2,1,3,1,0,0,1,1
1019,1019,,Silk institute to Peenya industry ,"560044,basaveshwara nagar,mahaganapathi temple",Work,"JP nagar,7th phase,Vega City mall",Home,09:30:00,Bus1 + Metro + Bus2 ,75,Walk ,5,< 0.5 km ,10,Walk ,10,0.5 to 1 km ,,For both access and egress trips ,15.0,1.0,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,Yes ,Bus ,Bus and Metro ,18-25yrs ,Graduate,Employed,"50,001 – 1,00,000",0.0,2,0,0,1,1,2,1,4,1,3,3,0,0,1,1
1021,1021,,Silk institute to nagasandra ,"Jalahalli, Asian paints office ",Work,"Sony signal, kormangla",Home,09:30:00,Metro ,90,Auto Rickshaw ,30,> 5 km ,1,Walk ,5,< 0.5 km ,,For both access and egress trips ,,,No ,150,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Employed,,0.0,0,0,0,1,1,2,1,1,8,1,3,2,0,4,1
1024,1024,Peenya industries ,,Nelmangla bus stop,Other,"Rajajinagar, beside metro station ",Home,10:00:00,Metro ,20,Walk ,5,< 0.5 km ,7,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,,Metro ,18-25 yrs ,Postgraduate,Employed,,0.0,0,0,0,1,1,8,1,1,1,1,1,2,0,1,1
1025,1025,Cubbon park,,"Cubbon park,vv tower ",Work,"Kr puram,Ignatius chruch",Home,09:30:00,Bus + Metro ,90,Walk ,10,0.5 to 1 km ,15,Walk ,5,< 0.5 km ,,For both access and egress trips ,15.0,2.0,Metro card ,0,Very high crowding - All seats AND most standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Student,,1.0,2,2,0,1,1,2,1,2,3,1,3,0,0,1,1
1027,1027,Cubbon park,,Indiranagar 2nd stage ,Work,Yelahanka kogilu cross,Home,09:00:00,Bus + Metro ,90,Walk ,5,< 0.5 km ,3,Walk ,10,< 0.5 km ,,For neither access nor egress trips ,10.0,5.0,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,Postgraduate,Employed,"10,001 – 25,000",0.0,1,0,0,1,1,2,1,2,1,1,1,0,0,1,1
1030,1030,,Kengeri to bayappanahalli ,Ramurthynagar ,Home,Konankunte crosa,Home,09:45:00,Bus + Metro ,150,Walk ,5,< 0.5 km ,2,Dropped-off by friends/others ,15,3 km to 3.5 km ,32.0,For both access and egress trips ,5.0,5.0,No ,50,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Not eligible ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Student,,1.0,1,0,0,1,1,1,1,2,1,5,3,0,0,1,0
1033,1033,Indiranagar,,"Central college,civil court ",Work,"Bhima nagar,lic",Home,10:40:00,Metro ,45,Two-Wheeler ,10,0.5 to 1 km ,10,Walk ,5,< 0.5 km ,,For access trip only ,,,No ,44,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,,Metro ,46-60 yrs ,Graduate,Unemployed,"10,001 – 25,000",0.0,1,0,0,1,1,2,1,1,3,1,2,4,0,0,1
1034,1034,Indiranagar ,,Cubbon park,Other,Indiranagar Vikas mega mart,Home,11:00:00,Metro ,15,Auto Rickshaw ,7,1.5 km to 2 km ,5,Walk ,5,0.5 to 1 km ,,For both access and egress trips ,,,Metro card ,70,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,,Bus and Metro ,18-25 yrs ,Graduate,Employed,,0.0,0,0,0,1,1,8,1,1,2,3,3,2,0,4,1
1037,1037,Indiranagar ,, Indiranagar ,Work,Deepanjali nagar satellite,Home,10:00:00,Metro ,40,Two-Wheeler ,10,1 km to 1.5 km ,2,Walk ,3,< 0.5 km ,,For both access and egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,,Metro ,26-35 yrs ,Graduate,Employed,,0.0,2,0,0,1,1,2,1,1,4,1,3,3,0,0,1
1039,1039,,Nagasandra to silk institute ,"Corporation court, majestic ",Work,"Madavara, Vinayaka clinic ",Home,10:30:00,Bus + Metro ,90,Walk ,10,< 0.5 km ,5,Auto Rickshaw ,10,1.5 km to 2 km ,8.0,For neither access nor egress trips ,8.0,7.0,No ,90,No crowding  - 50-75% of seats occupied ,Female,Yes ,Metro ,Metro ,36-45yrs ,Graduate,Employed,,0.0,1,0,0,1,1,2,1,2,1,2,1,0,0,1,4
1040,1040,Indiranagar ,,Deepanjali nagar ,Shopping,Indiranagar metro station ,Home,11:25:00,Metro ,20,Walk ,5,< 0.5 km ,3,Walk ,10,0.5 to 1 km ,,For both access and egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,,Metro ,26-35 yrs ,Graduate,Unemployed,,1.0,1,0,0,1,1,4,1,1,1,3,3,3,0,1,1
1043,1043,,Kengeri-byappanahalli ,Mantri square maleshwaram,Work,"Whitefield,hoody,nexus mall",Home,11:00:00,Bus1 + Metro + Bus2 ,75,Walk ,2,< 0.5 km ,8,Walk ,2,< 0.5 km ,,For neither access nor egress trips ,2.0,3.0,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,26-35yrs ,Graduate,Employed,,0.0,0,0,0,1,1,2,1,4,1,1,1,0,0,1,1
1044,1044,,C,MG road st Joseph's college ,School,Indiranagar new horizon public school ,Home,11:15:00,Bus + Metro ,45,Walk ,2,< 0.5 km ,10,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,4.0,7.0,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,12th,Student,,1.0,2,1,0,1,1,3,1,2,1,3,1,0,0,1,1
1050,1050,,Byappanahalli to kengeri ,Kengeri terminal papareddy palya,Work,White field ofram kadugudi,Home,09:30:00,Bus + metro+ bus + metro + bus,210,Walk ,10,0.5 to 1 km ,3,Bus,2,< 0.5 km ,2.0,For neither access nor egress trips ,2.0,3.0,No ,200,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,26-35yrs ,10th,Employed,"10,001 – 25,000",0.0,0,0,0,1,1,2,1,0,3,1,1,0,0,1,0
1054,1054,Jnanabharthi ,,"Marathahalli,eco space",Work,"Ullal,manganahalli",Home,00:00:00,Metro + Bus ,90,Rapido/uber moto/Ola App two-wheeler ,15,4 km to 4.5 km ,5,Walk ,5,0.5 to 1 km ,,For neither access nor egress trips ,1.0,2.0,Metro card ,0,No crowding - Less than 25% of seats occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,26-35yrs ,Postgraduate,Employed,,0.0,1,0,0,1,1,2,1,3,10,3,1,0,0,0,1
1059,1059,Silk institute ,,"Jaimala, containment railway behind ",Other,"Thattaguppe, kankpura main road",Home,12:00:00,Bus1 + Metro + Bus2 ,60,Two-Wheeler ,3,1.5 km to 2 km ,2,Auto Rickshaw ,20,> 5 km ,5.0,For neither access nor egress trips ,10.0,8.0,Metro card ,30,No crowding  - Most ,Female,Yes ,Bus ,Metro ,26-35yrs ,10th,Unemployed,,0.0,1,0,0,1,1,8,1,4,2,8,1,0,0,0,4
1060,1060,Vijaynagar ,,Mantri square,Shopping,"baglur,Reva University ",Home,10:00:00,Bus + Metro ,60,Walk ,10,< 0.5 km ,15,Walk ,3,< 0.5 km ,,For access trip only ,15.0,8.0,No ,28,Low crowding - All seats AND up to 25% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,Trade,Student,,0.0,0,0,0,1,1,4,1,2,1,1,2,0,0,1,1
1061,1061,Vijaynagar ,,Mantri Square,Shopping,Moodalapalya SVS kalyanamantapa,Home,12:30:00,Metro ,30,Auto Rickshaw ,10,0.5 to 1 km ,8,Walk ,2,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - Most ,Female,,,Metro ,18-25 yrs ,Graduate,Student,,1.0,1,0,0,1,1,4,1,1,3,1,1,2,0,4,1
1064,1064,Vijaynagar ,,Jaynagar 3rd block,Shopping,Bsawngudi bull temple ,Home,11:30:00,Metro ,45,Two-Wheeler ,15,3 km to 3.5 km ,5,Walk ,15,1 km to 1.5 km ,,For neither access nor egress trips ,,,No ,120,No crowding  - Most ,Female,,,Metro ,18-25 yrs ,Graduate,Employed,,0.0,2,0,0,1,1,4,1,1,5,4,1,2,0,0,1
1100,1100,Majestic ,,Byappanahalli metro station ,Friend,Majestic station ,Home,16:00:00,Metro ,15,Auto Rickshaw ,20,1 km to 1.5 km ,10,Auto Rickshaw ,25,2.5 km to 3 km ,10.0,For both access and egress trips ,,,Metro card ,150,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,26-35 yrs ,Postgraduate,Employed,,0.0,1,0,0,1,1,7,1,1,4,7,3,3,0,4,4
1106,1106,Jalahalli ,,"MG road, church street ",Other,"KG halli, near rama temple",Home,16:20:00,Bus + Metro ,45,Two-Wheeler ,7,1.5 km to 2 km ,10,Walk ,10,0.5 to 1 km ,,For both access and egress trips ,5.0,0.0,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,Yes ,Bus ,Metro ,18-25yrs ,Graduate,Student,,0.0,1,0,0,1,1,8,1,2,2,3,3,0,0,0,1
0,0,Krantivira Sangolli Rayanna Railway Station (purple line),Dasarahalli (green line),Saptagiri medical college ,School,Sangolllii rayanna railway station came from mysore,Home,10:50:00,Metro ,45,Walk ,5,< 0.5 km ,5,Auto Rickshaw ,7,3.5 km to 4 km ,5.0,For egress trip only ,,,Metro card ,70,No crowding  - 50-75% of seats occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,>2 Lakhs,0.0,0,0,0,Not Applicable - because neither ends of my trip is home. .,3,3,1,1,1,9,4,2,0,1,4
1,1,Mahatma Gandhi Road (purple line),Peenya (green line),Peenya,Friend,"Brigade road,mg road",Home,10:30:00,Metro ,15,Walk ,5,< 0.5 km ,2,Dropped-off by friends/others ,7,2 km to 2.5 km ,2.0,For egress trip only ,,,Metro card ,0,No crowding  - 25-50% of seats occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,1.0,2,0,0,"No, I will not use a bicycle. .",3,7,1,1,1,11,4,2,0,1,0
2,2,"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Trinity (purple line),Kotak mahindra bank near trinity metro station ,Work,"Magdi road, near GT mall",Home,10:30:00,Bus + Metro ,60,Walk ,10,0.5 to 1 km ,15,Walk ,2,< 0.5 km ,,For neither access nor egress trips ,5.0,8.0,No ,20,High crowding - All seats AND 50-75% of standing space occupied ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Employed,,0.0,1,1,0,"No, I will not use a bicycle. .",3,2,1,2,3,1,1,2,0,1,1
3,3,Peenya (green line),Chickpet (green line),Chickpete ,Shopping,"Peenya,HMT police station ",Home,11:30:00,Metro ,45,Auto Rickshaw ,10,4 km to 4.5 km ,10,Walk ,5,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,70,No crowding  - 25-50% of seats occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Graduate,Unemployed,,1.0,1,1,0,"No, I will not use a bicycle. .",3,4,1,1,10,3,1,3,0,4,1
6,6,Peenya (green line),Silk Institute (green line),Silk institute guhantara ,Other,Vidyaranyapura near sambram College ,Home,11:00:00,Metro ,90,Auto Rickshaw ,10,> 5 km ,6,Auto Rickshaw ,17,> 5 km ,7.0,For access trip only ,,,Metro card ,350,No crowding  - Most ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Postgraduate,Employed,"50,001 – 1,00,000",0.0,0,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",1,8,1,1,8,8,2,3,0,4,4
8,8,Baiyappanahalli (purple line),"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Bhalepete circle ,Shopping,Ramamurthy nagar bridge near,Home,12:00:00,Bus + Metro ,60,Walk ,5,< 0.5 km ,7,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,5.0,5.0,No ,30,No crowding  - Most ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,36-45 yrs ,10th,Daily,,0.0,1,0,0,"No, I will not use a bicycle. .",3,4,1,2,1,3,1,1,0,1,1
14,14,Yeshwanthpur (green line),Jayanagar (green line),Btm layout ,Other,Yeshwantpur railway station came from davangere ,Home,00:20:00,Metro ,40,Walk ,3,< 0.5 km ,5,Auto Rickshaw ,15,> 5 km ,4.0,For neither access nor egress trips ,,,Metro card ,100,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Employed,,0.0,0,0,0,Not Applicable - because neither ends of my trip is home. .,3,8,1,1,1,8,1,2,0,1,4
18,18,"Sir.M.Visvesvaraya Stn., Central College (purple line)",Mysore Road (purple line),"Rangavendta Matta vittavidu, banashankari 3rd stage",Home,Central college ,Home,12:30:00,Metro ,60,Walk ,3,< 0.5 km ,2,Two-Wheeler ,10,2.5 km to 3 km ,,For neither access nor egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,36-45 yrs ,Doctorate,Employed,>2 Lakhs,1.0,2,0,0,"No, I will not use a bicycle. .",3,1,1,1,1,7,1,1,0,1,0
20,20,Jayaprakash Nagar (green line),Attiguppe (purple line),Vijaynagar market ,Friend,"JP nagar, inchara hotel near",Home,11:40:00,Metro ,45,Auto Rickshaw ,15,4 km to 4.5 km ,20,Auto Rickshaw ,15,2.5 km to 3 km ,3.0,For neither access nor egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Postgraduate,Employed,,1.0,1,0,0,"No, I will not use a bicycle. .",3,7,1,1,10,7,1,3,0,4,4
23,23,Rajajinagar (green line),Krantivira Sangolli Rayanna Railway Station (purple line),Lulu mall,Friend,Kamakashipalya police station ,Home,12:30:00,Metro ,30,Dropped-off by friends/others ,20,> 5 km ,4,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,36-45 yrs ,Graduate,Unemployed,,2.0,1,0,0,"No, I will not use a bicycle. .",3,7,1,1,8,1,1,1,0,0,1
32,32,Pattanagere (purple line),Chickpet (green line),Chikpett whole sale shop,Shopping,"Kengeri upanagara, bhethasta school ",Home,13:50:00,Metro ,45,Dropped-off by friends/others ,5,1.5 km to 2 km ,4,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - 50-75% of seats occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,36-45 yrs ,10th,Business,,0.0,2,0,0,"No, I will not use a bicycle. .",3,4,1,1,2,1,1,1,0,0,1
35,35,Rajarajeshwari Nagar (purple line),Indiranagar (purple line),"EGL TECH PARK, Near indra nagar",Work,"RR nagar, near JSS college ",Home,14:15:00,Metro ,90,Ola/Uber car ,15,3.5 km to 4 km ,8,Ola/Uber car ,20,4.5 km to 5 km ,5.0,For both access and egress trips ,,,Metro card ,150,No crowding  - 50-75% of seats occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Postgraduate,Employed,,1.0,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",2,2,1,1,9,6,3,3,0,6,6
41,41,Rajarajeshwari Nagar (purple line),Magadi Road (purple line),Magadi road 1st cross inside saree shop,Shopping,"Jouregowda nagara, 13th cross 1st main road",Home,14:30:00,Metro ,45,Walk ,25,1.5 km to 2 km ,8,Walk ,10,1.5 km to 2 km ,,For neither access nor egress trips ,,,No ,75,No crowding  - 50-75% of seats occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,10th,Unemployed,,0.0,1,0,0,"No, I will not use a bicycle. .",3,4,1,1,2,2,1,3,0,1,1
58,58,Halasuru (purple line),Mahatma Gandhi Road (purple line),"MG road, residency road",Work,"Someshwara temple near, halasur",Home,15:34:00,Metro ,15,Walk ,5,< 0.5 km ,7,Walk ,4,0.5 to 1 km ,,For neither access nor egress trips ,,,No ,15,No crowding  - Most ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Postgraduate,Employed,,0.0,0,0,0,"No, I will not use a bicycle. .",3,2,1,1,1,3,1,2,0,1,1
61,61,Halasuru (purple line),Yeshwanthpur (green line),Yeshwanthpur railway station (Hyderabad),Other,"Halasur,  cambridge road",Home,03:45:00,Metro ,75,Walk ,10,< 0.5 km ,7,Walk ,4,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - Most ,Female,,I will use same mode as reported for this trip ,I was not making this trip earlier ,26-35 yrs ,Postgraduate,Employed,,0.0,0,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",2,8,1,1,1,1,1,3,0,1,1
67,67,"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Jalahalli (green line),Jalahalli cross,Friend,Oklipuram ganesh temple ,Home,16:00:00,Metro ,25,Walk ,10,1 km to 1.5 km ,5,Dropped-off by friends/others ,10,2.5 km to 3 km ,3.0,For neither access nor egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,1.0,0,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",1,7,1,1,4,7,1,2,0,1,0
0,0,Krishna Rajendra Market (green line),South End Circle (green line),Vijaya college ,School,Vinayaka theater,Home,08:35:00,Bus + Metro ,45,Walk ,10,0.5 to 1 km ,5,Walk ,10,0.5 to 1 km ,,For both access and egress trips ,5.0,3.0,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,0.0,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",1,3,1,2,3,3,3,2,0,1,1
1,1,Krishna Rajendra Market (green line),National College (green line),National College ,School,"Mysore circle,kr market ",Home,08:45:00,Metro ,25,Walk ,15,1 km to 1.5 km ,3,Walk ,5,< 0.5 km ,,For access trip only ,,,Metro card ,0,No crowding  - Most ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,12th,Student,,0.0,1,1,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",1,3,1,1,4,1,2,2,0,1,1
5,5,National College (green line),Jayanagar (green line),Jaynagar 3rd block,School,"
Hanuman nagar,National college ",Home,08:45:00,Metro ,27,Dropped-off by friends/others ,10,1 km to 1.5 km ,4,Walk ,5,< 0.5 km ,,For access trip only ,,,Metro card ,0,No crowding  - Most ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,12th,Student,,1.0,1,1,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",2,3,1,1,4,1,2,2,0,0,1
6,6,National College (green line),Konanakunte Cross (green line),Forum mall,Work,Srinagar hanuman temple,Home,08:30:00,Bus + Metro ,60,Walk ,5,< 0.5 km ,5,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,6.0,5.0,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,Two-Wheeler - from origin to destiantion ,Two-Wheeler - from origin to destiantion ,18-25 yrs ,Graduate,Employed,"50,001 – 1,00,000",1.0,1,0,0,"No, I will not use a bicycle. .",3,2,1,2,1,1,1,2,0,1,1
9,9,National College (green line),Konanakunte Cross (green line),Konankunte police station ,Work,Chamrajpete azad nagar,Home,09:10:00,Metro + Bus ,50,Auto Rickshaw ,10,2.5 km to 3 km ,5,Walk ,10,0.5 to 1 km ,,For access trip only ,5.0,5.0,Metro card ,35,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Eligible but do not use ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Postgraduate,Employed,,0.0,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",2,2,1,3,7,3,2,3,0,4,1
13,13,Jayanagar (green line),Vajarahalli (green line),Vajarahalli ksit college,Work,Nexus mall koramangala,Home,09:00:00,Metro ,45,Auto Rickshaw ,20,> 5 km ,5,Walk ,10,0.5 to 1 km ,,For egress trip only ,,,Metro card ,80,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Employed,,0.0,0,0,0,"No, I will not use a bicycle. .",3,2,1,1,8,3,4,2,0,4,1
20,20,Yelachenahalli (green line),National College (green line),National College ,School,Yelchanahalli paka shaala,Home,09:55:00,Metro ,25,Walk ,10,0.5 to 1 km ,5,Walk ,10,0.5 to 1 km ,,For access trip only ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,1.0,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",1,3,1,1,3,3,2,2,0,1,1
21,21,Yelachenahalli (green line),Jayanagar (green line),"Nmkrv college,",School,"Ashrama road, yelchenahalli ",Home,09:55:00,Metro ,30,Walk ,5,< 0.5 km ,5,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - 50-75% of seats occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,"1,00,001 – 2,00,000",0.0,1,1,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",2,3,1,1,1,1,1,2,0,1,1
24,24,Yelachenahalli (green line),Jayanagar (green line),City college jayanagar ,School,Ashraya school ,Home,10:10:00,Metro ,20,Walk ,5,< 0.5 km ,5,Walk ,10,< 0.5 km ,,For both access and egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,12th,Student,,0.0,2,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",1,3,1,1,1,1,3,2,0,1,1
